Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
43,601.5183845508029,40.06455663260483,13.591214697276465,3158.0,3158.0,4265.686367289478,3158.0,2.3994
44,601.509860056592,39.257966671376536,9.20156106244583,589.0,589.0,589.0,589.1723562600886,4.276071291915606
45,905.7621658753882,39.49241379539278,2.5846719044211444,8346.0,8346.0,8103.400339394429,9574.756600232024,7.95995261101006
46,601.5269090539526,39.65773959642289,6.211355009292998,2404.0,2404.0,2510.3118379979887,2438.181353926248,3.213882415517752
47,603.5403871133162,39.86139999908338,6.77200000002,315.0,315.0,315.00000039454426,315.0,0.0
48,905.7726264139709,39.4354407555822,10.948886260733774,2022.0,2022.0,2044.607850336501,2022.0,2.532
49,123.1389226652163,14.125100001611887,8.032999999980001,207.0,207.0,207.00000012183528,207.0,0.0
50,128.14096965298214,14.578661004237661,8.032999999980001,8761.0,8761.0,8989.874019467276,8761.0,0.0
51,170.19262789138685,16.638909326606434,10.763452556168138,1107.0,1107.0,1105.3867879673915,1107.0,2.5315000000199994
52,256.1988520141564,19.848442546355255,8.032999999980001,1841.0,1841.0,1898.684981122267,1841.0,0.0
53,257.1622030902018,20.108647184667916,12.301759577836744,4475.0,4475.0,4465.035233868828,4475.0,2.5315000000199994
54,228.26496250265615,20.646176563607366,9.436588548663066,4122.0,4122.0,4258.007124867671,4122.0,1.271000000009999
55,331.21114594955344,20.848772739852382,175.07732214144963,36894.0,36894.0,35811.461664974035,36894.0,126.83949999998998
56,307.23858648489517,21.30729999752424,8.032999999980001,807.0,807.0,807.0000008187859,807.0,0.0
57,308.23243225345993,21.49264208597655,8.032999999980003,1293.0,1293.0,1303.996184854726,1293.0,0.0
58,270.31295114207376,21.71524926172382,168.12092526318764,505647.0,505647.0,474936.2425705339,324510.5956772023,180.09006194768276
59,288.2885307523312,22.38246004905195,131.96012515020135,268501.0,268501.0,262433.9638704017,268501.0,127.85600000000998
60,288.30033370477264,22.458978800161695,11.799994871967034,3463.0,3463.0,3875.089835404305,3742.3242823821633,3.1093694498793605
61,337.2795506914346,23.627016293803592,188.50723928406646,313039.0,313039.0,309446.4406326163,252151.51894393997,172.4027673566592
62,377.22606606014494,23.810655965624647,13.566064796477713,4292.0,4292.0,4856.963275841526,4292.0,3.792
