Spectrum Number,MS Level,DT,Retention Time (sec),Min m/z,Base Peak m/z,Base Peak Intensity,CCS (Å^2),Cluster
21,1,5.270496,3.2489999999999997,59.01362418982685,59.01629132379705,41.0,46.89993677629477,17
22,1,5.39028,3.2489999999999997,59.01629132379705,59.018958518038374,26.0,47.951954594749395,-1
23,1,5.510064,3.2489999999999997,59.010957116127756,59.01362418982685,60.0,49.00502627828382,18
24,1,5.629848,3.2489999999999997,59.010957116127756,59.01362418982685,60.0,50.0574004805513,18
25,1,5.749632,3.2489999999999997,59.010957116127756,59.01362418982685,70.0,51.10977468281879,18
26,1,5.869416,3.2489999999999997,118.96038707509184,118.9641739212944,26.0,47.744959741705166,19
27,1,5.9892,3.2489999999999997,118.96038707509184,118.96796077197024,44.0,48.708216911787666,19
28,1,6.108984,3.2489999999999997,118.96038707509184,118.96796077197024,80.0,49.671474081870166,19
29,1,6.228768,3.2489999999999997,118.9641739212944,118.96796077197024,80.0,50.634577678704304,20
30,1,6.348552,3.2489999999999997,118.9641739212944,141.01246449970614,105.0,51.59783192726379,20
31,1,6.468336,3.2489999999999997,141.00834169785594,141.01246449970614,105.0,51.772265765790316,21
32,1,6.58812,3.2489999999999997,141.00834169785594,141.01246449970614,105.0,52.72106379461391,21
33,1,6.827688,3.2489999999999997,92.92626152497591,94.92491824202392,51.0,56.91196666731037,22
34,1,6.947472,3.2489999999999997,92.92626152497591,94.92491824202392,81.0,57.900602454722176,22
35,1,7.067256,3.2489999999999997,92.92626152497591,94.92491824202392,60.0,58.88923824213399,22
36,1,7.18704,3.2489999999999997,94.92153562969149,116.97687410993895,36.0,59.73195418377169,23
37,1,7.546392,3.2489999999999997,59.010957116127756,141.01246449970614,90.0,66.89538771683102,24
38,1,7.666176,3.2489999999999997,59.010957116127756,141.01246449970614,90.0,67.94776191909851,24
39,1,7.78596,3.2489999999999997,59.010957116127756,141.01246449970614,90.0,69.000136121366,24
40,1,7.905744,3.2489999999999997,94.92153562969149,116.9656091510519,30.0,65.64931332671462,25
41,1,8.025528,3.2489999999999997,116.96185424721806,116.9656091510519,30.0,65.18946305729634,26
42,1,9.223368,3.2489999999999997,61.98390243027217,61.98663586246479,28.0,80.99613451359424,27
43,1,9.343152,3.2489999999999997,61.98390243027217,61.98663586246479,76.0,82.04035448947205,27
44,1,9.462936,3.2489999999999997,61.98390243027217,61.98663586246479,99.0,83.08457446534987,27
45,1,9.58272,3.2489999999999997,61.98390243027217,61.98663586246479,71.0,84.1287944412277,27
46,1,9.702504,3.2489999999999997,59.010957116127756,59.01362418982685,34.0,85.83812335764571,28
47,1,9.822288,3.2489999999999997,59.010957116127756,59.018958518038374,35.0,86.8904975599132,28
48,1,9.942072,3.2489999999999997,59.010957116127756,59.018958518038374,35.0,87.94287176218069,28
49,1,10.78056,3.2489999999999997,61.98390243027217,61.98936935492852,47.0,94.5709942000059,29
50,1,10.900344,3.2489999999999997,61.98390243027217,61.98936935492852,101.0,95.61521417588374,29
51,1,11.020128,3.2489999999999997,61.98390243027217,61.98936935492852,101.0,96.65943415176154,29
52,1,11.139912,3.2489999999999997,61.98663586246479,61.98936935492852,54.0,97.70298370075186,30
53,1,11.259696,3.2489999999999997,61.98936935492852,61.99210290766338,30.0,98.74651895936968,31
54,1,11.37948,3.2489999999999997,61.98936935492852,118.9641739212944,46.0,99.79072460513049,31
55,1,11.499264,3.2489999999999997,61.98663586246479,118.9641739212944,46.0,100.83562213257267,32
56,1,11.619048,3.2489999999999997,61.98663586246479,116.96936405803875,51.0,101.87983494317959,32
57,1,11.738832,3.2489999999999997,61.98663586246479,116.96936405803875,51.0,102.92404775378654,32
58,1,11.858616,3.2489999999999997,116.9656091510519,116.96936405803875,51.0,96.06353770307844,33
59,1,11.9784,3.2489999999999997,141.01246449970614,141.01658740170942,109.0,95.41674395941071,34
60,1,12.098184,3.2489999999999997,141.01246449970614,141.01658740170942,170.0,96.36553968992378,34
61,1,12.217968,3.2489999999999997,92.92291471368364,141.01658740170942,170.0,101.40099999199597,35
