Mass,Drift,Abundance,MS Mode,CCS,Mass Bin,Mass Coordinate,CCS Bin,CCS Coordinate
591.63679,0.04,8,1,0.7982994042224196,591.635450–591.641366,591.635450–591.641366,0.792089–0.807930,0.792089–0.807930
689.52797,0.04,3,1,0.7957341068627123,689.522884–689.529779,689.522884–689.529779,0.792089–0.807930,0.792089–0.807930
1003.12166,0.04,307,2,0.7908645055355219,1003.117582–1003.127613,1003.117582–1003.127613,0.776557–0.792089,0.776557–0.792089
1003.1215,22.05,248,2,162.2396880187717,1003.117582–1003.127613,1003.117582–1003.127613,159.815812–163.012128,159.815812–163.012128
