m/z_ion_center,CCS (Å^2),Peak Intensity
141.0207,78.8,29
142.0244,79.49,102
143.9882,78.89,73
146.9656,81.08,62
146.9698,80.08,61
61.9976,91.54,173
92.933,83.09,26
142.0202,79.7,60
143.9965,79.55,37
216.993,77.99,127
216.9981,77.86,44
94.9249,83.88,23
118.9717,87.33,298
119.947,83.39,31
589.0432,75.88,82
589.0516,75.88,60
59.019,91.25,93
141.0166,102.64,2968
146.9614,82.18,40
199.0062,79.65,21
286.9819,78.13,33
328.9679,78.14,21
328.9931,78.14,46
528.953,77.79,146
59.0216,92.21,49
116.9694,102.24,8191
118.968,97.3,959
141.0207,100.18,2103
311.1679,79.25,80
589.0179,77.66,26
94.9249,88.47,199
94.9283,86.84,22
143.9924,87.13,183
297.1574,80.0,51
528.969,79.23,51
72.9927,97.08,239
72.9957,95.84,165
92.9263,94.36,366
92.9296,77.82,198
116.9656,85.93,35
116.9806,88.28,164
116.9844,88.12,78
118.9755,87.03,126
143.9965,84.35,23
297.1515,80.74,24
572.9757,79.49,62
572.984,79.49,0
572.9923,79.49,99
59.0216,99.23,49
92.933,95.91,33
116.9881,87.86,21
121.9439,88.47,51
141.0248,99.53,1063
142.0202,86.35,52
328.9868,82.66,26
118.9793,88.68,25
119.947,88.61,28
143.9882,88.78,84
146.9614,88.42,113
216.993,85.24,49
514.9928,82.37,45
515.0007,82.37,48
141.0125,91.16,17385
142.0244,88.2,31
330.9798,84.0,25
428.9602,84.99,281
92.9229,92.28,24
94.9215,93.55,114
116.9656,92.45,823
118.9642,92.58,577
141.0083,91.32,1238
301.9466,85.27,32
311.1679,85.11,25
328.9743,86.72,790
506.9408,84.19,382
528.953,85.16,246
589.001,83.88,59
589.0095,83.88,50
59.011,101.21,257
142.0161,92.11,69
216.9828,88.78,129
328.968,86.69,470
528.945,84.99,30
119.9432,92.75,47
141.029,99.93,591
142.0202,91.06,52
528.961,85.88,0
528.969,85.88,25
528.977,85.88,46
572.9673,85.27,35
72.9987,99.01,27
116.9806,100.24,747
141.0331,92.1,43
506.9486,86.87,22
528.985,86.32,61
528.993,86.32,21
116.9769,100.75,1742
327.9738,89.0,23
428.9674,88.17,63
428.9746,88.17,31
116.9844,98.63,198
118.9717,101.26,757
143.9924,94.31,50
146.9698,93.69,24
311.174,90.1,21
569.9546,88.47,65
844.5977,87.27,21
59.019,106.5,86
59.0216,105.41,30
61.9948,110.15,339
94.9249,101.8,92
142.0202,94.9,27
143.9965,94.79,22
92.933,101.07,63
134.8637,97.28,581
328.9931,93.26,193
61.9976,109.5,146
134.8678,97.43,359
136.8629,97.5,49
141.0331,99.45,168
301.9526,92.48,22
328.9806,93.61,852
328.9868,93.33,470
328.9994,92.61,40
72.9898,105.09,24
158.9082,99.01,2814
216.9879,95.39,26
216.993,95.39,27
329.9826,93.5,87
329.9889,93.5,35
118.9642,108.06,116
118.9755,101.48,183
143.9882,98.59,24
158.9038,99.0,125
158.9125,99.04,2981
158.9169,99.0,1414
158.9213,98.81,397
160.9058,98.94,1471
160.9102,99.0,4980
160.9146,98.97,2824
160.919,98.98,816
286.9819,94.96,61
589.0095,92.77,50
94.9283,104.0,37
118.9793,101.42,53
121.9478,101.47,42
142.0202,100.12,25
160.9234,98.73,116
528.961,93.9,71
118.9831,102.19,22
330.9798,95.75,43
529.9676,94.34,37
529.9756,94.75,62
94.9317,105.61,47
141.0125,106.5,14661
248.9556,100.14,344919
248.9611,100.2,3622476
248.9665,100.18,9186034
248.972,100.19,11028847
248.9775,100.17,8105364
248.983,100.17,5155429
248.9884,100.14,3492245
248.9939,100.19,2582326
248.9994,100.18,1915590
249.0049,100.14,1478774
249.0104,100.14,1117747
249.9591,100.24,34345
249.9646,100.2,122665
249.9701,100.19,225630
249.9756,100.17,230325
249.981,100.15,150545
249.9865,100.15,85423
428.9746,96.55,61
428.9818,96.24,57
428.9889,96.69,73
428.9961,95.81,52
238.9619,99.85,445
238.9672,99.77,319
248.9392,100.29,3731
248.9446,100.29,6961
248.9501,100.27,17387
249.0159,100.15,937000
249.0213,100.15,749732
249.0268,100.15,671452
249.0323,100.15,604769
249.0378,100.15,540184
249.0432,100.15,463005
249.0487,100.15,400565
249.0542,100.15,296724
249.0597,100.14,182647
249.0652,100.15,172543
249.0706,100.15,182405
249.0761,100.15,132758
249.0816,100.15,112267
249.0871,100.14,100504
249.0926,100.14,82885
249.098,100.16,76171
249.1035,100.14,70065
249.109,100.14,55370
249.1145,100.15,49136
249.12,100.16,44826
249.1254,100.15,42094
249.1309,100.15,38910
249.1364,100.16,34794
249.1419,100.17,28705
249.1473,100.16,28075
249.1528,100.14,26703
249.1583,100.15,23900
249.1638,100.15,22323
249.1693,100.13,22030
249.1748,100.13,18908
249.1802,100.14,18431
249.1857,100.16,18613
249.1912,100.14,17757
249.1967,100.16,15444
249.2022,100.14,14830
249.2076,100.15,14386
249.2131,100.15,15479
249.2186,100.15,14210
249.2241,100.16,13213
249.2296,100.15,12367
249.235,100.14,13100
249.2405,100.13,11865
249.246,100.14,10722
249.2515,100.14,10770
249.257,100.16,11327
249.2624,100.13,10219
249.2679,100.16,10041
249.2734,100.16,9937
249.2789,100.13,10459
249.2844,100.15,9454
249.2899,100.15,9034
249.2953,100.17,8635
249.3008,100.14,9372
249.3063,100.16,8842
249.3118,100.16,8310
249.3173,100.16,8117
249.3228,100.15,8729
249.3282,100.13,7688
249.3337,100.15,7259
249.3392,100.14,7161
249.3447,100.12,7653
249.3502,100.17,6991
249.3556,100.17,6423
249.3611,100.15,6818
249.3666,100.13,7156
249.3721,100.11,6702
249.3776,100.13,6367
249.3831,100.16,6144
249.3885,100.14,7046
249.394,100.14,6126
249.3995,100.12,6172
249.405,100.15,6205
249.4105,100.16,6068
249.416,100.11,4996
249.4214,100.12,4997
249.4269,100.14,5014
249.4324,100.13,5457
249.4379,100.14,5304
249.4434,100.12,4975
249.4488,100.13,5074
249.4543,100.14,5212
249.4598,100.11,4111
249.4653,100.15,3878
249.4708,100.19,4715
249.4763,100.17,4856
249.4818,100.14,4290
249.4872,100.16,4024
249.4927,100.12,3998
249.4982,100.14,4063
249.5037,100.12,3765
249.5092,100.13,3688
249.5147,100.18,3844
249.5201,100.17,4195
249.5256,100.16,3290
249.5311,100.18,3676
249.5421,100.16,3800
249.5476,100.16,3682
249.553,100.13,4933
249.5585,100.15,6002
249.564,100.09,6644
249.5695,100.09,5620
249.575,100.1,4715
249.5805,100.06,4129
249.586,100.1,3683
249.5914,100.15,3368
249.6024,100.22,3150
249.6079,100.14,3278
249.6134,100.17,3076
249.6298,100.16,3252
249.6353,100.11,3196
249.6408,100.07,2669
249.6463,100.15,2813
249.6628,100.18,2703
249.6682,100.13,2879
249.6737,100.12,2819
249.6902,100.15,2257
249.6957,100.18,2231
249.9536,100.24,3662
249.992,100.15,48926
249.9975,100.16,26695
250.003,100.15,14863
250.0085,100.19,8123
250.014,100.2,4874
250.0195,100.13,3395
250.0249,100.18,2698
257.9259,100.62,48517
257.9314,100.63,141801
257.937,100.6,177942
257.9426,100.61,124432
257.9482,100.6,71269
257.9537,100.63,40398
257.9593,100.66,21639
257.9649,100.62,11016
259.9203,100.69,4415
259.9259,100.71,28400
259.9315,100.72,50951
259.9371,100.69,42397
259.9427,100.68,23122
259.9483,100.68,11941
72.9927,112.95,116
116.9881,105.26,23
143.9882,104.73,175
143.9924,113.33,62
238.9565,99.93,196
238.9726,99.93,77
248.9337,100.32,1038
249.5366,100.16,3473
249.5969,100.09,2790
249.6189,100.18,3202
249.6244,100.2,3268
249.6518,100.14,2984
249.6573,100.09,2721
249.6792,100.08,2530
249.6847,100.12,2272
249.7012,100.11,2096
249.7066,100.13,2178
249.7121,100.17,1897
249.7176,100.06,2323
249.7231,100.08,2101
249.7286,100.13,2085
249.7341,100.2,1774
249.7396,100.1,2093
249.745,100.2,1686
249.7505,100.15,1538
249.756,100.13,1799
249.7615,100.09,1999
249.767,100.03,1725
249.7725,100.08,1287
249.778,100.12,1588
249.7835,100.1,1647
249.7889,99.99,1052
249.7944,100.01,1158
249.7999,99.94,945
249.8054,99.97,900
249.8109,99.98,656
249.8164,100.1,654
249.8219,100.04,372
249.8274,100.01,689
249.8328,100.2,604
249.8383,100.14,653
249.8438,100.11,624
249.8493,100.13,535
249.8548,99.97,360
249.8603,99.98,258
249.8658,100.33,298
249.8713,100.19,490
249.8767,100.19,430
249.8822,100.1,615
249.8932,100.11,372
249.8987,100.35,189
249.9042,100.16,93
249.9097,100.33,177
249.9152,99.96,240
249.9207,100.08,179
249.9261,100.06,362
249.9316,100.27,259
249.9371,100.23,197
249.9426,100.0,317
249.9481,100.07,313
250.0304,100.13,1762
250.0359,100.21,1392
250.0414,100.26,999
250.0469,100.07,1316
250.0524,100.13,604
250.0579,100.1,347
250.0634,100.16,105
250.0689,100.22,310
250.0798,99.99,94
250.1183,99.98,91
250.1348,100.21,80
250.1512,99.7,47
250.1567,100.57,171
257.9203,100.63,3580
257.9705,100.61,5718
257.976,100.65,3213
257.9816,100.56,1868
258.9361,100.44,215
258.9417,100.45,278
259.9539,100.62,5517
259.9595,100.63,2137
116.9656,108.16,1185
121.9439,106.29,26
250.0744,100.27,143
250.1402,100.86,44
250.1622,100.61,68
257.9872,100.51,862
257.9928,100.51,336
257.9984,100.62,182
258.9305,100.44,53
259.9651,100.71,666
267.9862,100.27,38
428.953,99.37,40
428.9602,99.31,62
59.011,118.39,153
141.0083,106.6,1112
160.8441,105.57,297
162.8361,105.86,249
237.9861,102.7,593
237.9914,102.63,1085
237.9968,102.67,491
61.9839,118.12,40
119.9432,108.76,132
142.0161,106.3,24
146.9614,106.48,25
152.0469,105.72,29
160.8353,106.21,109
160.8397,106.06,277
160.8485,105.52,131
160.8529,105.74,61
162.8405,105.87,193
168.8315,105.85,175
168.836,105.48,213
168.8405,105.76,220
170.8313,106.15,630
170.8359,106.26,498
170.8404,106.22,257
172.8247,105.73,262
172.8292,106.13,536
172.8338,106.21,346
174.825,106.02,323
174.8296,105.99,286
238.0021,102.71,21
328.9679,101.86,144
528.9371,100.13,416
569.9546,99.51,69
572.9757,99.85,131
572.984,99.5,56
118.9755,112.94,82
141.029,111.3,376
162.845,106.47,115
168.845,105.72,67
170.8268,106.2,128
170.8449,106.18,97
172.8384,106.4,235
172.8429,106.56,74
174.8342,106.42,128
174.8388,106.04,30
303.8923,102.43,50
572.9673,100.83,26
572.9923,100.38,0
573.0006,100.83,99
59.0163,121.16,74
94.9215,113.03,27
94.9249,113.52,109
116.9806,116.02,199
134.892,109.61,131
264.9654,106.24,5608
72.9957,118.23,132
171.9995,109.56,699
264.9598,106.19,3472
264.971,106.27,3668
264.9767,106.25,1800
330.9798,103.89,24
428.989,103.31,31
528.961,103.33,57
59.019,122.14,21
59.0243,122.14,21
72.9927,126.6,89
147.0034,110.54,153
168.9849,109.46,176
168.9894,109.78,273
168.9939,109.45,160
171.995,109.63,419
172.0041,109.79,371
172.0087,109.73,218
172.0132,109.34,103
264.9541,105.74,181
264.9823,106.27,726
528.969,103.67,32
528.977,103.66,22
72.9987,119.3,22
116.9844,115.62,91
119.9508,112.92,46
147.0077,110.66,105
168.9984,109.5,31
216.9828,107.76,51
216.9879,108.23,25
216.993,108.23,123
216.9981,108.22,27
349.8688,105.4,34
349.8753,105.4,49
401.9452,105.36,63
589.001,104.96,238
589.0095,104.25,0
589.0179,104.25,93
61.9976,127.35,138
141.0331,112.06,29
146.9656,117.69,149
146.9698,113.41,51
146.974,112.62,48
156.8969,112.17,131
159.89,111.97,248
159.8944,111.91,634
160.8882,112.17,527
160.8926,112.22,1015
162.8893,112.12,1852
162.8937,112.11,2751
262.9798,109.36,5749
262.9854,109.36,13076
262.9911,109.4,8861
284.9447,108.92,2012
284.9505,108.87,5851
284.9564,109.02,6604
284.9622,109.04,4345
284.9681,108.99,2324
284.974,108.94,1198
328.9679,107.0,25
401.9383,105.79,49
589.0432,105.13,43
590.0042,105.13,34
143.9882,113.21,21
156.8926,111.98,147
159.8988,112.31,49
160.897,111.89,184
162.8981,112.07,763
162.9026,111.84,99
164.8938,111.57,22
238.9619,109.19,65
262.9967,109.44,3301
263.0023,109.39,440
280.9384,108.98,404
280.9443,109.04,653
280.9501,109.05,143
284.9798,109.05,520
59.0163,128.32,106
214.8299,112.35,2710
238.9672,109.89,29
262.9742,109.42,22
284.9857,108.96,120
286.9819,109.44,21
286.9878,108.98,25
114.9356,116.97,54
203.8647,112.72,820
203.8697,112.68,1055
205.8624,112.67,497
205.8674,112.69,695
212.8296,112.41,584
212.8347,112.2,1025
212.8398,112.23,186
214.8248,112.01,163
214.835,112.3,1899
214.8401,112.43,365
311.1679,109.94,26
92.9263,122.67,59
119.9432,123.28,288
184.9805,115.36,1432
184.9852,115.43,1477
184.9899,115.51,871
184.9946,115.31,391
203.8746,112.75,227
205.8724,112.72,156
216.8243,112.38,29
216.8294,112.38,25
216.8345,112.38,56
62.0003,128.7,47
118.9869,118.51,43
118.9907,119.0,23
146.9782,117.44,91
152.0469,116.03,23
184.9758,115.43,284
184.9994,115.55,243
72.9957,126.71,92
72.9987,126.45,23
118.9945,119.48,53
143.9882,122.15,43
146.9698,117.76,150
146.974,117.29,108
171.9995,116.47,32
172.0041,115.92,21
185.0041,115.6,94
237.9914,115.33,652
330.9735,111.95,22
141.0372,118.64,21
171.995,116.85,53
200.9898,117.83,2292
200.9948,117.9,3578
200.9997,117.85,2754
222.9921,117.0,1179
222.9973,117.05,1672
223.0025,117.05,1141
223.0077,117.06,632
237.9861,114.9,214
237.9968,114.75,211
248.9665,116.82,2692
281.9811,114.46,107
328.9806,113.33,51
116.9656,123.58,896
118.9642,123.09,139
142.0161,120.74,88
146.9614,120.91,911
154.946,121.58,17773
201.0046,117.85,1601
201.0095,117.86,917
201.0144,117.87,506
201.0194,117.76,213
216.9879,116.91,88
222.9869,117.15,218
223.0128,117.06,360
223.018,117.22,187
337.8877,115.59,11751
337.894,115.76,49429
337.9004,115.79,75078
337.9068,115.84,61582
337.9132,115.84,34125
339.8946,115.81,25118
339.901,115.83,29648
428.9602,113.58,131
59.011,134.77,43
59.0136,133.7,42
136.936,122.44,301
141.0083,121.6,496
154.9417,121.32,5649
154.9504,121.64,11908
154.9547,121.59,4372
177.9004,119.38,67
177.905,119.23,131
201.0243,117.91,138
201.0292,117.65,85
223.0232,116.81,47
248.983,117.29,95
311.1618,115.85,67
328.9679,115.71,515
328.9742,116.71,291
337.9196,115.84,16307
337.926,115.81,6514
339.8882,115.7,7319
339.9073,115.84,18909
339.9138,115.85,8464
346.862,115.73,5001
346.8685,115.73,7303
346.8749,115.76,3654
348.8564,115.78,1145
348.8629,115.76,3752
348.8694,115.86,2972
528.945,113.42,23
528.953,113.6,59
572.9673,113.2,50
588.9926,113.13,226
119.947,123.24,156
119.9508,123.24,53
136.9319,121.79,32
154.959,121.55,931
177.8957,119.38,30
328.9617,116.43,81
337.9323,115.79,1276
338.8968,115.96,37
338.9031,115.74,134
338.9095,115.61,50
339.9202,115.84,1787
339.9266,115.65,54
346.8555,115.81,153
346.8814,115.76,323
348.8759,116.07,429
505.9563,114.44,158
119.9546,124.21,21
136.9401,122.74,87
141.029,122.44,23
154.9633,121.72,51
348.85,116.24,30
348.8824,116.09,43
528.961,115.2,26
116.9769,127.97,235
152.0512,122.65,22
255.2286,118.73,47
61.9948,145.53,131
118.9718,126.96,94
118.9755,126.31,30
381.8771,118.52,177
589.0095,116.69,25
116.9806,127.37,25
238.8867,125.66,6232
238.8921,123.37,2824
381.8703,118.56,73
381.8839,118.62,111
383.8744,118.54,28
428.9674,118.57,126
428.989,119.16,101
471.9215,119.65,2626
471.9291,119.69,5152
471.9366,119.65,6164
471.9442,119.72,5022
471.9517,119.75,2882
471.9592,119.77,1434
59.0163,246.07,156505
166.0103,126.16,4785
166.0148,126.2,6537
166.0192,126.21,3894
194.9036,123.61,76
194.9085,123.32,99
233.9966,122.01,28
238.8975,122.68,902
471.914,119.58,456
471.9668,119.61,621
471.9743,119.77,278
480.8938,119.51,105
480.9014,119.6,208
589.0179,118.91,67
116.9694,129.82,24
150.987,126.49,23
166.0237,126.13,1846
166.0282,126.25,722
217.0032,123.45,23
272.9881,124.76,31809
272.9939,124.8,50260
471.9819,119.74,47
480.909,119.52,244
528.969,122.55,248
572.9673,118.98,21
59.0136,246.14,178037
141.0125,128.83,85
143.9924,128.43,57
234.8631,125.9,11129
234.8684,125.94,31494
234.8738,125.96,28590
234.8791,126.0,15569
236.8626,125.92,10318
236.868,125.95,21331
236.8733,125.93,16675
237.8629,125.9,16649
237.8683,125.97,35875
237.8736,126.0,29160
237.879,125.97,15908
238.8599,125.88,9888
238.8653,125.94,37346
238.8706,125.95,40423
238.876,125.94,24062
238.8814,125.95,12156
239.8644,125.93,16637
239.8698,125.97,25401
239.8751,125.98,16785
240.8602,125.82,14950
240.8656,125.93,51660
240.871,125.92,57246
240.8763,125.94,35245
240.8817,125.96,18538
242.8688,125.92,22275
242.8742,125.9,20246
250.9866,125.18,888
250.9921,125.1,1910
250.9976,125.06,1491
251.0031,125.08,799
251.0086,125.06,442
251.0141,125.03,240
271.9852,124.72,772
271.9909,124.72,1234
271.9966,124.69,990
272.0024,124.71,514
272.9767,124.44,521
272.9824,124.53,7107
272.9996,124.82,41537
273.0053,124.81,26736
273.0111,124.81,18469
273.0168,124.8,12958
273.0226,124.79,8828
273.0283,124.79,6248
273.034,124.78,4485
273.0398,124.8,3439
