m/z_ion_center,CCS (Å^2),Peak Intensity
474.2323,155.63,942
474.2398,155.55,926
474.2474,155.59,969
474.255,155.53,900
474.2625,155.54,793
474.2701,155.55,782
474.2776,155.48,733
474.2852,155.49,659
474.2928,155.6,639
474.3155,155.59,621
474.3381,155.48,468
474.3457,155.53,441
474.4138,155.28,437
474.966,155.75,1193
475.0114,155.59,2104
475.0189,155.45,1371
475.0265,155.56,910
475.034,155.7,686
480.9623,155.99,333
480.9699,156.15,304
168.9939,161.91,34
218.9768,159.92,131
218.9973,160.15,243
219.0025,159.27,111
223.0128,159.39,142
223.018,159.1,21
227.2009,161.72,2517
227.2061,161.76,1397
233.1636,159.26,174
233.1689,159.17,43
242.1659,160.27,1766
242.1875,160.03,1505
242.1929,159.99,841
243.1719,159.36,169
243.1773,159.83,450
243.1827,159.89,323
269.0273,158.07,157
269.0387,157.58,31
270.002,158.24,124
273.9872,157.44,100
274.0102,158.2,185
376.0377,156.52,252
376.0444,156.77,153
400.8532,157.43,28433
400.8601,157.45,51939
400.867,157.45,46738
400.874,157.47,28051
400.881,157.46,14092
420.98,156.13,214
420.9871,156.35,420
420.9942,156.83,214
428.9817,154.78,37
430.9687,154.76,22
452.006,155.71,252
473.0158,155.15,228
473.9148,155.05,97
473.9224,155.51,116
473.9299,155.51,210
473.9375,155.86,285
474.3003,155.66,612
474.3079,155.59,630
474.323,155.57,444
474.3306,155.62,449
474.3533,155.53,469
474.3608,155.6,531
474.3684,155.4,429
474.376,155.58,468
474.3835,155.62,480
474.3911,155.49,498
474.3986,155.49,400
474.4062,155.34,390
474.4213,155.52,399
474.4289,155.53,404
474.4364,155.54,473
474.444,155.63,398
474.4516,155.75,375
474.4591,155.66,355
474.4667,155.35,342
474.4743,155.49,354
474.4818,155.45,306
474.4894,155.6,307
474.4969,155.49,340
474.5045,155.58,399
474.5121,155.58,382
474.5196,155.68,381
474.5272,155.53,358
474.5348,155.5,349
474.5423,155.58,284
474.5499,155.57,336
474.5574,155.42,290
474.565,155.45,273
474.5726,155.14,242
474.5801,155.53,227
474.5877,155.6,270
474.5953,155.49,289
474.6028,155.57,284
474.6104,155.72,325
474.618,155.51,320
474.6255,155.67,293
474.6331,155.5,290
474.6406,155.54,252
474.6482,155.77,247
474.6558,155.57,253
474.6633,155.71,197
474.6709,155.64,186
474.6785,155.7,226
474.686,155.25,176
474.6936,154.97,176
474.7012,155.25,163
474.7087,155.72,205
474.7163,155.63,207
474.7239,155.33,163
474.7314,155.49,151
474.739,155.32,145
474.7466,155.26,155
474.7541,155.61,151
474.7768,155.95,147
474.7844,155.34,108
474.7919,155.51,214
474.7995,155.67,212
474.8071,155.56,249
474.8146,155.24,198
474.8222,155.46,199
474.8298,155.57,206
474.8373,155.42,154
474.8449,155.68,154
474.8525,155.62,138
474.8752,155.59,127
474.8827,155.39,137
474.8903,155.37,154
474.8979,155.51,135
474.9054,155.66,169
474.913,155.29,151
474.9206,155.2,136
474.9281,155.46,95
474.9357,155.27,78
474.9432,154.96,39
474.9508,155.46,96
474.9584,155.71,261
475.0416,155.58,543
475.0492,155.41,421
475.0568,155.62,359
475.0643,155.37,305
475.0719,155.61,275
475.0795,155.59,346
475.087,155.58,254
475.0946,155.62,207
475.1022,155.83,161
475.1097,155.64,152
475.1173,155.52,128
475.1249,155.4,158
480.9547,156.46,233
480.9775,155.91,173
750.5674,153.18,28
146.9656,190.05,2317
172.0041,162.65,29
227.1957,161.46,1587
227.2114,161.84,569
233.1476,160.55,103
242.1983,159.88,382
242.2037,159.85,205
250.1402,161.56,3382
250.1457,161.65,3493
269.9734,158.72,130
274.0159,158.35,69
278.0826,159.16,92
290.9657,158.37,129
290.9716,158.16,133
374.9949,156.81,75
376.0512,156.69,100
384.9976,156.22,68
400.8462,157.47,4532
400.8879,157.47,6167
400.8948,157.39,2308
421.0013,156.8,169
421.0085,156.68,96
428.9602,156.13,32
428.9674,156.13,37
428.9746,155.68,0
428.989,155.68,0
428.9961,155.66,49
451.9617,156.89,143
452.0134,155.22,98
471.9819,155.24,74
472.9554,156.1,146
473.0234,155.14,98
473.9072,156.12,80
474.7617,156.11,102
474.7692,155.22,103
474.86,155.49,123
474.8676,155.76,167
475.1324,155.21,75
475.14,155.75,88
475.1476,155.6,130
475.1551,155.61,125
475.1627,155.6,88
475.1703,155.67,67
475.1778,155.65,97
475.1854,155.59,119
475.193,155.21,54
475.2005,155.21,45
475.2081,155.55,69
475.2157,155.16,55
475.2232,155.65,96
475.2308,155.71,109
475.2384,155.71,97
475.246,155.26,55
475.2687,155.41,94
475.2762,155.66,0
475.2838,155.9,69
475.2914,155.23,58
475.2989,155.66,50
475.3065,155.62,64
475.3141,155.21,42
475.3216,155.21,0
475.3292,155.71,72
475.3519,155.58,61
475.3595,155.2,54
143.984,166.8,160
146.9614,185.84,2026
154.9979,164.84,21
217.0032,161.19,26
227.2166,161.98,171
228.2068,161.2,23
250.1348,161.23,787
250.1512,161.77,1604
250.1567,161.47,519
278.0884,159.16,53
364.8518,158.72,883
364.8585,158.65,883
370.8849,159.89,16952
370.8916,159.92,14126
376.8932,159.07,14736
376.9,159.24,32204
376.9067,159.27,30243
376.9134,159.32,17599
376.9202,159.38,8568
392.8441,158.16,547
392.851,158.2,1080
392.8579,158.13,506
400.9018,157.48,433
401.8547,156.9,25
401.8617,157.64,286
401.8687,157.56,378
475.526,156.1,55
61.9839,183.83,21
141.0042,167.52,49
143.9965,181.18,1090
146.9571,166.85,68
222.9299,162.69,171
222.9351,162.37,355
227.1904,162.16,23
250.1622,161.52,47
251.1461,161.91,90
257.118,160.66,22
265.0728,161.99,289
344.8669,158.64,24
364.8452,158.32,45
364.8651,159.09,288
370.8782,159.8,9205
370.8982,159.97,7130
376.8865,159.1,965
376.9269,159.33,3255
401.8756,157.8,21
455.9414,159.34,422
455.9488,159.62,884
455.9562,159.52,849
455.9636,159.69,521
61.9976,233.28,1600
62.0003,221.66,253
119.9584,181.63,251
119.9622,180.28,101
121.9401,182.16,167
220.1446,162.91,21
222.9403,162.74,115
248.972,162.3,2136
248.9885,162.29,86
248.9939,162.29,152
249.1473,162.29,28
249.1528,162.29,65
251.1516,162.17,39
265.0784,162.87,214
287.0408,160.75,22
301.9466,160.85,77
362.8716,159.25,22
368.8884,160.8,2621
368.895,160.9,2137
370.8715,159.84,395
370.9049,159.94,2529
370.9116,159.81,162
376.9337,159.25,702
377.9049,159.02,30
394.8422,161.36,16940
394.8491,161.35,18746
455.971,159.69,238
92.9396,177.38,138
123.9999,174.54,44
127.0025,170.32,53
144.0007,182.32,365
146.9698,182.1,1435
146.974,186.62,785
146.9782,185.94,474
146.9824,187.76,258
146.9866,187.21,152
204.9717,164.51,22
241.2159,165.3,2165
241.2213,165.35,1435
265.0671,162.25,25
265.0841,162.94,46
304.9342,161.24,80
304.9403,161.24,21
322.963,163.11,6540
322.9692,163.02,6032
368.8817,160.67,592
368.9017,160.91,598
384.8001,159.82,63
384.8069,159.82,23
388.9521,163.11,831
388.9589,163.06,1118
394.8353,161.38,3866
394.856,161.35,12583
394.8629,161.36,6354
404.8461,160.0,38
408.957,163.8,7757
408.9641,163.83,11015
408.9711,163.86,9126
408.9781,163.9,6027
416.8301,160.85,1773
416.8372,160.92,3179
416.8443,161.02,2142
455.9785,159.87,107
455.9859,159.38,61
485.9548,160.45,366
485.9625,160.17,552
485.9702,160.17,390
59.027,188.91,29
142.0326,169.8,28
240.9626,164.86,69
241.2105,165.44,807
241.2267,165.45,568
247.1675,164.6,129
247.1729,164.79,86
265.1406,165.73,3550
265.1463,165.79,7301
322.9567,163.06,1199
322.9755,163.03,1947
340.913,162.53,141
388.822,160.53,46
388.8288,161.09,52
388.8357,160.66,53
388.9658,163.12,675
392.8785,162.75,5235
394.8698,161.44,1894
401.9591,162.48,78
408.9851,163.86,3815
416.8514,161.02,681
416.8585,160.75,32
454.9634,161.22,326
454.9708,161.01,386
454.9782,160.77,180
481.9603,160.85,173
485.9472,160.48,96
485.9778,160.06,191
485.9855,159.86,104
530.9592,186.34,14345
530.9672,186.36,12838
126.9986,179.59,35
216.9981,198.81,393
240.968,164.86,46
241.2321,165.01,149
247.1784,164.64,59
264.9202,165.46,261
264.9258,165.0,289
264.9315,164.08,23
265.1519,165.84,4918
265.1576,165.83,1920
265.1632,165.8,564
283.084,164.91,162
299.0217,164.96,1948
299.0277,164.86,1735
322.9817,163.16,363
340.9066,162.98,162
344.9249,163.24,79
344.9313,163.04,55
346.9202,164.04,12310
346.9267,164.05,15524
346.9331,164.11,9932
346.9396,164.14,4423
352.9342,164.86,24514
352.9407,164.86,42884
352.9472,164.92,36018
352.9537,164.88,20836
364.8717,162.65,165
388.9726,163.42,392
388.9795,163.29,177
392.8716,162.79,4140
392.8854,162.77,2554
394.8284,161.48,25
394.8767,161.48,88
408.9922,163.92,2161
408.9992,163.91,1309
410.8198,162.59,181
410.9605,163.97,370
454.956,161.45,153
454.9856,160.77,69
524.9681,163.82,77964
524.976,163.88,138680
530.9512,186.31,11869
530.9752,184.36,9471
124.0037,173.56,47
217.0032,167.42,139
241.2375,165.58,53
242.2199,165.73,37
253.2137,167.74,3560
253.2192,167.74,2855
265.135,165.91,76
265.1689,165.98,198
266.1479,165.65,51
266.1535,165.82,104
270.9384,166.17,2702
270.9441,166.21,2237
271.1327,166.71,133
271.1384,166.5,97
283.0782,164.49,22
283.0899,164.96,100
299.0157,164.87,107
299.0337,164.98,525
328.9742,167.29,6085
328.9806,197.53,16139
328.9868,167.37,12059
346.9137,163.97,1507
346.9461,164.0,723
352.9277,164.77,1759
352.9603,164.91,10080
364.8784,162.82,23
388.9452,164.26,32
388.9863,162.99,73
392.8648,162.96,190
392.8923,162.89,542
394.9043,162.38,25
408.943,163.55,79
408.95,163.97,2346
409.0062,164.0,769
409.0132,163.97,460
409.0202,164.0,304
409.9546,163.7,251
409.9617,163.93,600
409.9687,164.02,666
409.9757,163.83,486
409.9828,163.88,229
410.9675,163.99,313
410.9746,163.92,196
434.8406,163.37,1091
481.9832,161.4,47
523.9662,163.38,1517
523.9742,163.73,2574
523.9821,163.78,2713
523.9901,163.75,1908
523.998,163.68,1136
524.9522,163.76,2348
524.9601,163.65,22284
524.984,163.91,151854
524.9919,163.94,119902
524.9999,163.94,82002
525.0078,163.94,56511
525.0158,163.94,41002
525.0238,163.92,31337
525.0317,163.89,23356
525.0397,163.92,18429
525.0476,163.91,15895
525.0556,163.91,13557
525.0635,163.9,11675
525.0715,163.93,11148
525.0794,163.93,9730
525.0874,163.91,8573
525.0954,163.93,7239
525.1033,163.93,5570
525.1272,163.88,3782
525.9709,163.77,2924
525.9788,163.79,5331
525.9868,163.84,5940
525.9948,163.84,4648
526.0027,163.86,3302
526.0107,163.84,2050
143.984,173.41,62
144.0049,182.01,153
218.9819,168.76,132
218.987,168.82,196
222.9973,168.93,272
223.0025,168.8,166
246.9765,168.76,8692
246.9819,168.83,9333
252.121,166.31,30
252.1265,166.31,22
253.2081,167.62,826
253.2247,167.67,1082
253.2302,167.76,343
255.212,168.99,1009
255.2175,168.78,3355
255.2231,169.08,53056
255.2286,169.15,166347
255.2342,169.18,171284
255.2397,169.19,109635
255.2453,169.18,65640
255.2508,169.18,40980
255.2564,169.18,25784
255.2675,169.16,11305
256.228,169.12,11430
256.2336,169.14,25961
256.2391,169.15,21334
256.2447,169.19,12206
265.1745,165.72,55
266.1592,165.87,44
269.9791,167.17,323
270.9498,165.95,713
273.9929,166.57,242
273.9987,167.04,354
274.0044,166.84,220
299.0397,165.0,47
300.0251,164.98,23
320.9819,165.7,216
320.9881,165.8,208
320.9943,165.11,65
352.9668,164.96,3809
352.9733,164.9,895
386.8528,164.89,28
386.8596,163.49,263
386.8665,163.41,90
386.9416,163.39,56
409.0273,163.71,187
409.0343,163.94,124
409.0413,163.75,120
409.0483,163.58,88
409.9898,163.75,116
410.8127,163.22,56
410.9535,164.23,280
426.985,165.58,3676
426.9922,165.6,7177
426.9994,165.58,7282
427.0065,165.68,5448
427.0137,165.68,3289
434.8334,163.47,569
434.8479,169.66,572
434.8551,169.51,3449
440.8486,164.28,1252
440.8559,164.35,2727
440.8632,164.41,1726
502.9619,168.78,1840
502.9697,166.59,1011
502.9775,165.18,1480
502.9852,164.95,1249
502.993,164.76,864
523.9583,163.35,398
524.006,163.8,666
524.0139,163.73,366
524.9442,164.21,444
525.1113,163.94,4302
525.1192,163.91,3930
525.1351,163.89,3393
525.1431,163.89,2887
525.1511,163.85,2594
525.159,163.85,2293
525.167,163.88,2033
525.1749,163.79,1768
525.1829,163.89,1614
525.1908,163.87,1454
525.1988,163.87,1458
525.2067,163.9,1296
525.2147,163.89,1199
525.2227,163.84,1092
525.2306,163.86,989
525.2386,163.86,985
525.2465,163.88,844
525.2545,163.88,941
525.2624,163.92,859
525.2704,163.9,803
525.2784,163.89,800
525.2863,163.96,759
525.2943,163.53,632
525.3022,163.75,616
525.3102,163.95,649
525.3181,164.01,588
525.3261,163.92,636
525.3341,163.87,556
525.342,163.85,596
525.35,163.92,576
525.3579,163.8,554
525.3659,163.96,571
525.3738,163.89,538
525.3818,163.93,539
525.3898,163.84,497
525.3977,163.87,494
525.4057,163.84,498
525.4136,163.94,481
525.4216,163.83,495
525.4295,164.0,442
525.4375,163.82,408
525.4455,164.01,373
525.4534,163.8,404
525.4614,163.88,390
525.4693,163.82,368
525.4773,163.88,401
525.4853,163.92,419
525.5251,163.81,317
525.7002,163.68,267
525.9549,163.71,255
525.9629,163.8,802
526.0186,163.89,1415
526.0266,163.89,987
526.0346,163.85,656
526.0425,163.79,544
526.0505,163.88,451
528.969,163.39,164
589.001,162.02,62
589.0095,161.93,25
121.9554,176.64,53
246.971,168.61,423
246.9874,168.8,3970
253.2358,168.01,133
255.2065,169.34,684
255.2619,169.18,16660
255.273,169.14,8366
255.2786,169.15,6793
255.2841,169.14,5429
255.2897,169.16,4883
255.2952,169.16,4053
255.3008,169.12,3873
255.3063,169.12,2880
255.3119,169.12,2746
255.3174,169.35,1836
255.323,168.91,798
255.3285,169.18,1237
255.334,169.15,1047
255.3396,169.07,698
255.3451,169.12,613
255.3507,169.19,555
255.3562,169.2,436
256.2225,169.37,887
256.2502,169.17,7032
256.2558,169.18,3879
256.2614,169.13,2332
256.2669,169.16,1388
256.2725,169.3,891
256.278,169.15,694
256.2836,169.01,482
257.2293,169.48,365
257.2349,169.46,1294
257.2405,169.5,1364
257.2461,169.49,817
269.9848,167.73,339
269.9905,167.45,157
269.9962,167.84,115
270.9327,166.64,57
274.0102,166.97,88
306.0751,167.01,165
306.0811,166.89,350
306.0872,167.03,263
324.994,165.96,150
325.0002,166.59,210
352.9798,164.82,24
380.894,165.44,220
386.9143,166.78,11419
386.9279,166.73,5838
386.9348,166.73,1551
404.86,165.81,358
410.876,166.42,10520
410.9816,164.86,58
425.9956,165.31,186
426.9778,165.28,689
427.0209,165.39,1928
427.028,165.63,1230
427.0352,165.67,700
427.0424,165.44,428
434.8262,163.68,26
440.8413,163.61,28
440.8705,164.27,480
471.9743,165.48,322
471.9819,165.44,880
471.9894,165.53,950
471.997,165.45,777
472.0045,165.37,456
503.0008,164.91,510
524.0219,163.56,157
524.9203,163.74,134
524.9283,163.73,171
524.9362,163.84,206
525.4932,163.98,417
525.5012,163.87,350
525.5091,163.86,324
525.5171,163.96,325
525.533,163.92,295
525.541,164.01,331
525.5489,163.95,294
525.5569,163.94,341
525.5648,163.88,315
525.5728,164.12,288
525.5808,163.77,251
525.5887,163.87,345
525.5967,163.65,269
525.6046,163.91,277
525.6126,163.93,303
525.6206,164.0,323
525.6285,163.82,301
525.6365,163.95,291
525.6444,163.89,295
525.6524,163.86,272
525.6604,163.7,234
525.6683,163.7,207
525.6763,163.85,229
525.6842,164.03,228
525.6922,164.03,245
525.7081,163.76,229
525.7161,163.85,174
525.724,164.09,182
525.732,163.87,186
525.74,164.15,179
525.7479,163.59,177
525.7559,163.85,202
525.7639,164.04,168
525.7718,163.79,208
525.7798,164.06,187
525.7877,163.9,239
525.7957,163.43,175
525.8037,163.65,150
525.8116,163.82,198
525.8196,163.75,199
525.8276,163.95,196
525.8355,164.09,205
525.8435,163.93,222
525.8514,163.91,202
525.8594,163.91,224
525.8674,164.0,181
525.8753,163.6,135
525.8833,163.5,150
525.8912,163.69,158
525.8992,164.02,206
525.9072,163.77,182
525.9151,163.81,228
525.9231,163.81,197
525.931,163.41,181
525.939,163.54,177
525.947,163.36,217
526.0584,163.93,449
526.0664,163.83,359
526.0744,163.78,342
526.0823,163.9,306
526.0903,163.89,298
526.0983,163.84,252
526.1062,163.96,210
526.1142,163.59,151
526.146,163.72,119
526.154,163.7,148
526.1779,163.94,110
526.2416,163.66,102
528.961,163.92,203
528.977,162.79,38
530.9832,165.09,124
94.9351,182.33,75
146.9571,174.12,36
171.9995,186.48,192
216.993,189.24,573
218.9922,169.41,64
246.9928,168.82,668
255.1954,169.9,187
255.2009,169.88,412
255.3618,169.26,444
255.3673,168.83,281
255.3729,169.2,333
255.3784,169.27,241
255.384,169.13,269
255.3895,168.92,209
255.3951,168.98,161
255.4006,168.93,180
255.4062,169.29,203
255.4117,169.18,116
255.4395,169.11,133
255.4617,169.17,135
256.2169,169.22,149
256.2892,169.2,297
256.2947,169.18,251
256.3003,169.35,191
256.3058,168.88,151
256.3114,169.01,134
257.2516,169.42,373
257.2572,168.94,178
270.002,167.58,22
325.0065,166.44,112
328.9931,167.47,5770
353.9459,165.71,26
353.9524,165.71,23
380.9008,165.57,695
380.9075,165.49,262
386.9074,166.74,3032
386.9211,166.78,10504
404.867,165.84,151
410.869,166.4,4353
410.8831,166.42,8950
410.8901,166.37,4338
410.9464,164.86,54
416.8868,167.33,11056
416.8939,167.24,18565
416.901,167.22,14162
425.9884,165.31,175
426.0027,165.58,119
426.9563,165.52,123
427.0496,165.66,269
427.0568,165.76,144
428.8523,166.46,1558
428.9602,168.5,129538
428.9674,168.51,218666
428.9746,168.51,217389
428.9817,168.51,158177
428.989,168.51,103574
428.9961,168.5,71588
429.0033,168.5,52546
430.9687,168.47,10504
472.012,165.49,208
503.0086,164.86,251
503.0164,165.02,140
524.0298,163.74,92
524.9044,164.13,94
524.9124,164.71,124
526.1222,163.91,137
526.1301,163.71,71
526.1381,163.71,106
526.162,164.1,125
526.1699,164.39,68
526.1859,164.06,72
526.1938,164.31,97
526.2018,164.12,104
526.2098,163.84,90
526.2177,164.09,77
526.2257,163.95,98
526.2336,163.86,105
526.2496,164.08,117
526.2576,164.6,43
526.2655,163.46,74
526.2735,163.26,50
526.2814,163.73,55
526.3053,163.7,49
526.3133,163.7,0
526.3213,163.77,81
526.3292,164.06,54
526.3531,163.61,70
526.3611,163.7,0
526.3691,163.45,78
743.7345,162.49,24
758.7316,162.43,23
127.0025,177.89,67
216.9879,195.06,491
255.4173,169.4,0
255.4228,169.34,46
255.445,169.3,93
255.4506,169.64,73
255.4561,169.27,141
255.4672,168.95,93
255.4728,169.15,107
255.4783,168.95,0
255.4838,168.95,51
255.4894,168.94,0
255.4949,168.94,66
255.5116,169.0,58
255.5394,168.91,29
255.5616,168.97,29
255.7336,169.1,50
255.8225,169.01,29
255.828,168.93,0
255.8336,168.75,53
256.317,168.92,63
257.2628,169.43,80
258.2382,168.86,35
269.2096,168.52,21
279.1606,169.84,316
279.1664,169.51,169
328.9994,167.46,1510
329.0057,167.44,176
368.915,167.96,3262
368.9217,167.98,2130
368.9284,168.07,485
370.945,166.33,23
404.853,165.69,49
404.874,165.84,50
404.881,165.84,21
410.8972,166.4,582
416.9081,167.24,7628
416.9152,167.25,3107
427.0639,166.01,0
427.0711,165.82,71
428.8308,166.48,462
428.838,166.56,1845
428.8451,166.48,2698
428.9458,167.98,2764
428.953,168.26,31855
429.0105,168.51,39294
429.0177,168.51,30838
429.0249,168.49,25706
429.0321,168.49,21095
429.0393,168.48,17998
429.0465,168.49,16511
429.0537,168.5,15342
429.0609,168.51,13247
429.068,168.51,12575
429.0752,168.51,10654
429.0824,168.51,7813
429.0896,168.51,6074
429.0968,168.49,6080
429.104,168.52,5626
429.1112,168.43,4632
429.1184,168.55,4101
429.9603,168.49,6744
429.9675,168.51,14311
429.9747,168.51,16171
429.9819,168.52,12499
429.9891,168.51,9009
430.9471,168.48,671
430.9543,168.37,4091
430.9615,168.43,9346
430.976,168.44,8269
430.9832,168.42,5534
430.9904,168.44,3662
430.9976,168.45,2238
435.978,165.9,49
435.9853,166.15,136
435.9926,166.35,75
472.0196,165.55,80
506.9408,168.74,395370
506.9486,168.7,550301
506.9564,168.69,553339
506.9642,168.7,462766
506.972,168.71,347758
506.9799,168.73,246956
506.9877,168.73,175449
506.9955,168.72,129181
507.0033,168.72,101015
507.0111,168.72,82862
507.0346,168.73,56360
507.0424,168.73,51097
507.0502,168.73,46221
507.058,168.75,40826
508.9517,168.67,30240
526.2894,164.6,78
526.5762,164.59,21
783.7127,163.22,22
92.9397,188.49,46
142.0285,179.51,61
255.4284,169.88,93
255.4339,169.86,0
255.5449,169.86,22
258.9808,170.37,146
258.9864,169.75,71
279.1548,169.92,132
279.1722,169.6,83
328.9679,173.44,523
329.012,167.41,178
332.9788,168.49,224
332.9851,168.17,158
368.9017,167.26,22
368.9084,167.83,798
416.8797,167.57,645
416.9223,167.42,281
427.9541,168.13,418
427.9612,168.52,1256
427.9684,168.58,1443
427.9756,168.61,953
427.9828,168.58,605
428.8164,166.43,44
428.8236,167.0,238
428.8595,166.52,182
428.917,169.05,402
428.9242,168.79,569
428.9314,168.79,759
428.9386,168.67,933
429.1256,168.55,3643
429.1328,168.55,3401
429.14,168.51,2980
429.1472,168.48,2668
429.1544,168.45,2479
429.1616,168.52,2210
429.1687,168.48,2075
429.1759,168.45,1876
429.1831,168.46,1767
429.1903,168.43,1684
429.1975,168.5,1515
429.2047,168.51,1507
429.2119,168.43,1492
429.2191,168.46,1346
429.2263,168.49,1329
429.2335,168.5,1211
429.2407,168.47,1235
429.2479,168.47,1091
429.255,168.49,1076
429.2622,168.58,1029
429.2694,168.49,899
429.2766,168.45,815
429.2838,168.52,895
429.291,168.45,898
429.2982,168.49,814
429.3054,168.37,774
429.3126,168.46,762
429.3198,168.51,747
429.327,168.48,709
429.3342,168.47,736
429.3414,168.51,745
429.3486,168.48,763
429.3558,168.52,780
429.363,168.47,729
429.3702,168.54,704
429.3774,168.44,709
429.3845,168.45,698
429.3917,168.43,681
429.3989,168.51,600
429.4061,168.44,664
429.4133,168.37,551
429.4205,168.46,534
429.4277,168.31,582
429.4349,168.45,602
429.4421,168.32,586
429.4493,168.38,561
429.4565,168.36,504
429.4637,168.54,546
429.4709,168.59,572
429.4781,168.35,576
429.4853,168.43,511
429.4925,168.45,526
429.4997,168.64,550
429.5068,168.58,549
429.55,168.41,413
429.7587,168.3,339
429.7659,168.44,306
429.8595,168.47,241
429.9531,168.55,1415
429.9963,168.54,6016
430.0035,168.5,4145
430.0107,168.5,2690
430.0179,168.51,2036
430.0251,168.51,1427
430.0323,168.54,1143
430.0395,168.61,945
430.0467,168.46,872
430.0539,168.43,651
430.0611,168.52,667
430.0683,168.41,585
431.0048,168.36,1385
431.012,168.39,863
431.0192,168.46,693
431.0264,168.41,416
431.9712,168.63,360
456.965,167.48,303
456.9724,167.81,523
456.9799,167.72,382
498.9212,168.73,2290
498.9289,168.61,1901
498.9367,168.66,1234
502.923,168.84,1793
502.9308,168.81,4675
502.9385,168.77,5740
502.9463,168.77,4481
502.9541,168.75,3005
505.9329,169.01,10071
505.9407,169.23,28503
505.9485,169.74,107692
505.9563,169.96,247991
505.9641,170.0,351281
505.9719,170.01,340589
505.9797,170.02,261488
505.9875,170.02,176463
506.8939,169.13,1777
506.9017,169.18,2138
506.9095,169.19,2640
506.9173,169.21,3240
506.9251,168.91,24738
506.9329,168.79,160651
507.0189,168.73,69781
507.0268,168.72,61590
507.0658,168.75,35260
507.0737,168.71,28826
507.0815,168.75,25411
507.0893,168.76,22849
507.0971,168.75,20575
507.1049,168.77,19025
507.1128,168.79,17574
507.1206,168.76,16698
507.1284,168.75,15529
507.1362,168.71,14183
507.144,168.75,13622
507.1518,168.78,12773
507.1597,168.75,12093
507.1675,168.79,11338
507.1753,168.76,11353
507.1831,168.78,10458
507.1909,168.78,9867
507.1988,168.8,9291
507.2066,168.76,9212
507.2144,168.77,8723
507.2222,168.79,8526
507.23,168.8,8198
507.2378,168.79,7789
507.2457,168.75,7800
507.2535,168.75,7540
507.2613,168.77,7300
507.2691,168.77,7127
507.277,168.74,6941
507.2848,168.76,6591
507.2926,168.77,6507
507.3004,168.75,6451
507.3082,168.75,6382
507.3161,168.71,6096
507.3239,168.75,5802
507.3317,168.75,5862
507.3395,168.75,5683
507.3473,168.77,5646
507.3552,168.83,5580
507.363,168.8,5412
507.3708,168.75,5355
507.3786,168.78,5265
507.4021,168.75,5092
507.4099,168.76,4937
507.4177,168.8,4932
507.4255,168.77,4911
507.4334,168.81,4867
507.4412,168.78,4889
507.449,168.79,4755
507.4568,168.79,4511
507.4646,168.75,4317
507.4725,168.8,4333
507.4803,168.79,4300
507.4881,168.74,4057
507.4959,168.71,4130
507.5038,168.69,4113
507.5116,168.7,3976
507.5194,168.73,4014
507.5272,168.72,3912
507.535,168.73,3858
507.5585,168.74,3746
507.5663,168.76,3719
507.5741,168.76,3611
507.582,168.8,3537
507.5898,168.78,3501
507.5976,168.75,3348
507.6054,168.81,3317
507.6132,168.75,3191
507.6211,168.75,3333
507.6289,168.78,3299
507.6367,168.78,3234
507.6445,168.77,3219
507.6524,168.78,3143
507.6602,168.81,2867
507.668,168.76,2879
507.6758,168.77,3014
507.7697,168.76,2638
507.7932,168.75,2782
507.801,168.8,2767
507.8088,168.78,2670
507.9575,169.6,21691
508.9282,168.81,5818
508.9361,168.79,18509
508.9439,168.74,30358
508.9596,168.67,23406
508.9674,179.42,18017
508.9752,179.41,12856
508.9831,179.42,8754
508.9909,168.68,6194
508.9987,168.65,4638
509.0066,168.71,3595
100.9996,184.8,229
248.972,170.99,23
258.9752,170.66,101
267.2308,172.04,652
267.2365,172.42,310
267.9862,174.77,119
267.9919,171.71,176
267.9976,171.89,144
269.2437,173.38,6300
269.2494,173.33,5678
269.2551,173.26,2901
270.1332,170.32,21
270.1389,170.82,46
277.1802,176.64,822
283.1074,172.66,4513
283.1132,172.54,3370
283.1191,172.61,2026
285.1498,170.44,155
285.1557,170.07,57
332.9724,169.2,48
332.9914,168.73,28
362.8981,168.26,27
392.9267,170.66,17149
392.9336,170.57,24055
392.9404,170.53,17504
418.9664,168.07,158
418.9735,168.35,66
427.99,168.48,312
427.9972,168.53,148
428.9027,168.24,135
428.9099,168.92,277
429.514,168.45,465
429.5212,168.6,502
429.5284,168.61,443
429.5356,168.61,446
429.5428,168.41,420
429.5572,168.45,418
429.5644,168.69,400
429.5716,168.45,397
429.5788,168.52,381
429.586,168.58,443
429.5932,168.47,444
429.6004,168.57,383
429.6076,168.62,397
429.6148,168.55,371
429.622,168.61,361
429.6292,168.67,383
429.6364,168.53,344
429.6436,168.57,369
429.6508,168.45,317
429.658,168.34,335
429.6652,168.39,291
429.6724,168.47,255
429.6796,168.39,253
429.6868,168.46,315
429.694,168.39,282
429.7012,168.48,273
429.7083,168.52,275
429.7155,168.36,249
429.7227,168.43,344
429.7299,168.27,303
429.7371,168.45,375
429.7443,168.59,382
429.7515,168.45,348
429.7731,168.47,264
429.7803,168.45,321
429.7875,168.5,280
429.7947,168.64,271
429.8019,168.35,277
429.8091,168.26,206
429.8163,168.68,281
429.8235,168.56,255
429.8307,168.54,249
429.8379,168.35,192
429.8451,168.42,207
429.8523,168.52,235
429.8667,168.51,287
429.8739,168.4,244
429.8811,168.3,264
429.8883,168.55,280
