Cluster,m/z_ion_center,DT_center,Peak Intensity,Amplitude_mz,Amplitude_dt
44,322.95673,5.6899999999999995,54,54.0,54.0
45,328.96166000000005,5.69,106,106.0,127.62703890194945
46,528.9689999999999,5.730011763878673,141,141.0,165.30401450641978
47,572.98397,5.750004125991075,68,68.0,68.00000004606214
48,588.99261,5.692264150943396,55,55.0,55.0
49,141.02071,7.058088203639618,1495,1495.0,1628.4631346256547
50,142.0161,5.926937597472901,61,61.0,68.72599644430858
51,142.02023,6.16695933955727,156,156.0,158.5268488801529
52,142.02437,5.8100000000000005,22,22.0,22.0
53,146.96556,5.923480782696122,97,97.0,105.96311339508746
54,146.96977,5.9812205952550075,85,85.0,83.23937277125006
55,216.98276999999996,5.857994888469,89,89.0,89.38557186856963
56,248.97202,5.81,23,23.0,23.0
57,428.96737,5.898615450947746,163,163.0,163.77966012894953
58,428.97456,5.869996497828486,51,51.0,51.00000007173992
59,528.96101,5.869794822706155,61,61.0,61.000000017377666
60,528.97698,5.869999848797513,23,23.0,23.00000001263174
61,118.97553,6.712095162893781,287,287.0,214.98654149302328
62,143.98404,5.93,38,38.0,38.0
63,143.99237,6.0440141898906505,81,81.0,93.10604625856006
64,146.97397,6.024077402859473,229,229.0,253.75412060115272
65,428.99614,5.93,57,57.0,57.0
66,61.99484,6.4242021632488635,230,230.0,231.05921315672194
67,92.93296,6.114397030489426,59,59.0,59.05503597610695
68,94.92491999999999,6.122227266827979,61,61.0,61.51532106049669
69,94.9283,6.271221667020438,270,270.0,239.2241906865603
70,116.97686999999999,6.8526959744556635,1376,1376.0,1289.806844623675
71,118.97932000000002,6.10267536839687,86,86.0,86.19815731957999
72,141.02896,6.050000000000001,120,120.0,131.4166531486839
73,143.99654,6.050000000000001,21,21.0,21.0
74,72.99571,6.212857142857143,39,39.0,39.0
75,116.98063,6.8352972413443736,346,346.0,292.24857649876867
76,142.02437,6.17,25,25.0,25.0
77,317.98456,6.170000000000001,63,63.0,63.0
78,317.99075,6.17,36,36.0,38.28577813247155
79,61.99757,6.340506329113924,122,122.0,122.0
80,94.93168,6.29,69,69.0,69.0
81,121.94391999999999,6.349999988511854,23,23.0,23.000000041833324
82,428.83075999999994,6.29,21,21.0,21.0
83,528.94504,6.29,21,21.0,21.0
84,59.01095999999999,6.472312552263512,28,28.0,28.000000004117645
85,116.98437999999999,6.80127810038223,282,282.0,290.4883216670389
86,141.01659,7.001334623644989,695,695.0,576.7039993868112
87,528.969,6.631636347256492,113,113.0,128.42813709845285
88,92.93296,6.7389655008853495,159,159.0,156.26141711344079
89,94.92492000000001,6.997883533900657,216,216.0,228.8856474163172
90,143.99237,6.65,55,55.0,55.0
91,482.92877,6.711701262829782,50,50.0,50.00000001458236
92,59.01896000000001,7.118951225724032,356,356.0,364.4970283789985
93,118.97932,6.924645841265716,47,47.0,38.99045086446762
94,121.94392000000002,6.952897179057965,125,125.0,145.82451906661066
95,141.02896000000004,7.058514817096816,383,383.0,365.7007854763219
96,141.03308,7.0178843221866325,260,260.0,272.91861511480414
97,216.99300000000002,6.830039483818523,21,21.0,21.000000019956236
98,293.16702,6.7700000000000005,46,46.0,46.0
99,293.17297,6.77,32,32.0,32.0
100,572.9756600000001,6.895574980687061,86,86.0,93.81433327354242
101,572.98397,6.829997454332111,30,30.0,30.00000001841947
102,572.99228,6.829999920472347,82,82.0,82.00000021225698
103,94.93168,6.91281690140845,49,49.0,49.0
104,116.98814,6.867058823529412,47,47.0,47.0
105,142.02436999999998,7.232172337650284,84,84.0,83.94393127890518
106,328.98684,6.9508194998154575,75,75.0,75.00000002619701
107,328.99314,6.890000000000001,75,75.0,80.88089329849541
108,329.01203,6.953479687839319,33,33.0,33.0106358438027
109,59.02163,7.052629840841347,133,133.0,134.24378873837637
110,59.02429000000001,7.059741898968754,35,35.0,35.091825130702226
111,72.99571,7.60501884926389,33,33.0,37.8308893836409
112,92.92626,7.64666609320575,736,736.0,663.1802739766713
113,141.0372,7.1433757961783435,44,44.0,44.0
114,142.02023,7.2900047734753946,330,330.0,344.6631037858831
115,297.15147,7.01,38,38.0,40.68681657998331
116,72.99274,7.25,48,48.0,50.90450693678434
117,116.96936,7.56318711277931,5878,5878.0,6026.764948235239
