m/z,Retention Time (sec),Drift Time (ms),Intensity,count
116.97456010857246,2.61799999998,1.078056,141.0,3
141.02141768475,4.308894736828421,2.8685115789473685,1987.0,19
116.97061545536955,7.759164556963291,8.024011746835443,4016.0,79
59.012163222341535,4.188599999988,6.148912,870.0,15
118.96867918608915,5.354499999991666,9.662576,1763.0,36
59.012696591529824,4.402833333319999,9.003764,205.0,6
116.967050914842,2.61799999998,9.58272,182.0,3
143.9920681940222,3.4212499999799997,10.03191,364.0,8
1071.7444384373903,2.61799999998,11.559156,50.0,2
116.97380923678631,3.9031999999799996,12.457536000000001,595.0,15
141.01571021384657,7.533743902438536,14.43981512195122,7462.0,82
188.93695426195265,4.0712857142742855,16.975103999999998,552.0,14
141.0159608608791,8.016101298703324,23.067909381818183,887799.0,770
217.0004059725451,88.63606632144023,18.49064150191571,197501.0,783
61.989983884634626,3.3319999999799994,25.55392,504.0,3
486.96657727401646,8.14932,26.84599008,4452.0,25
61.98785257973725,8.684446428575358,26.86584,8136.0,56
598.9428542966702,3.1534999999799997,27.789888,82.0,2
116.97456010857246,2.61799999998,27.969564,176.0,2
592.9301472407559,8.045258064514838,28.099008,2768.0,31
568.9687428506262,4.40266666666,28.468664,1262.0,12
632.9203289417196,2.9749999999799996,29.027655999999997,203.0,3
614.9797648575891,5.8302499999999995,29.237278,717.0,12
650.9743112062932,7.640828571425142,30.243748800000002,2843.0,35
712.9360629139519,2.61799999998,30.84438,78.0,2
690.9605946064213,3.9949999999799997,30.818712,305.0,7
732.971546678849,7.327534883719534,31.778973767441858,2085.0,43
141.0164555667779,4.200999999988695,34.935264000000004,1311.0,23
116.96705091484202,2.61799999998,35.515956,48.0,2
116.97456010857246,2.61799999998,38.450663999999996,138.0,3
141.00731447763368,3.07699999998,41.958624,495.0,7
116.967050914842,2.61799999998,45.278352000000005,78.0,3
59.021586439559606,2.61799999998,46.895436000000004,54.0,2
61.99063467329877,3.07699999998,48.067608,273.0,7
1194.7261742536898,2.61799999998,52.884636,50.0,2
141.01836277768322,5.359160000004,54.60233856,2278.0,25
116.97571546042134,3.1123076922876924,55.55213353846154,676.0,13
116.97080550860943,3.6889999999799996,3.114384,63.0,3
141.00731447763368,7.3110199999992,8.10698112,2874.0,50
59.01225211720625,4.22449999998,11.499263999999998,189.0,6
170.8315343189421,3.6889999999799996,13.595483999999999,56.0,2
246.9793999670629,4.22449999998,19.225332,127.0,2
608.9631354285905,6.442142857144286,29.210183999999998,1084.0,14
698.8976853311095,3.6889999999799996,29.886108,92.0,2
714.935039323565,5.295,31.083948,318.0,8
708.9095325440629,3.6889999999799996,31.323515999999998,67.0,2
830.9390618424438,3.6889999999799996,33.359843999999995,50.0,2
141.00731447763368,3.6889999999799996,38.091311999999995,180.0,3
59.01625244637816,4.22449999998,50.429064000000004,291.0,6
141.00731447763368,3.6889999999799996,57.256752000000006,114.0,3
141.00731447763368,5.47333333334,0.159712,196.0,3
142.01909922536723,4.75999999998,9.88218,94.0,2
61.98934612982167,6.579750000018,11.068041599999999,752.0,20
61.98907278050482,4.75999999998,12.936672000000002,81.0,3
616.8874486588851,4.75999999998,27.729996,122.0,2
116.97456010857246,4.75999999998,29.886108,118.0,2
730.9196630787541,5.295,31.323515999999998,123.0,4
814.9846774257819,5.187999999996,33.1562112,155.0,5
996.7521867433937,4.75999999998,34.318116,42.0,2
59.01358554017699,4.75999999998,45.398136,159.0,3
116.967050914842,4.75999999998,47.793816,72.0,3
118.9805649364067,4.75999999998,48.452628000000004,44.0,2
61.98633952837508,4.75999999998,49.830144,102.0,3
116.967050914842,4.75999999998,53.423664,96.0,3
59.01358554017699,4.75999999998,54.26215199999999,147.0,6
118.96866416109036,6.136142857157142,55.768008,201.0,7
61.98907278050482,4.75999999998,57.735887999999996,87.0,3
116.97456010857246,5.83000000002,1.557192,207.0,3
1120.6958565886039,5.83000000002,12.27786,62.0,2
248.96795694555834,10.543242424250908,13.11453309090909,1745.0,33
142.01496210303083,5.83000000002,13.355916,117.0,2
59.01438563011525,8.18570000001,18.3628872,403.0,10
656.983768079073,6.36550000002,29.766323999999997,175.0,4
756.9342995622493,7.23550000001625,32.221896,656.0,16
59.01358554017699,5.83000000002,34.4379,231.0,4
118.97551606272096,5.83000000002,46.11684,84.0,3
59.011226407228754,7.765807692323078,46.50383446153846,1150.0,26
141.00731447763368,5.83000000002,47.973492,96.0,2
1221.7445477544907,5.83000000002,53.004419999999996,48.0,2
116.97456010857246,5.83000000002,55.10064,96.0,3
141.01143689660356,6.901000000020001,3.9528720000000006,192.0,3
118.96920509223894,6.901000000020001,4.432008,141.0,3
59.02425352653988,6.90100000002,7.127148,44.0,2
59.01091869423551,7.4365000000200006,11.259696,168.0,6
143.99102674253393,7.61500000002,12.297824,104.0,3
116.97019993156769,8.59732258065484,14.169288,1328.0,31
526.9616821137237,7.25800000002,27.270824,235.0,3
616.8896042820774,7.16875000002,27.670104,255.0,4
116.97080550860943,7.4365000000200006,28.14924,428.0,4
780.8795138356743,6.90100000002,31.323515999999998,62.0,2
141.01143689660356,6.901000000020001,32.581247999999995,330.0,3
59.01288374178501,9.32936842105579,53.9028,737.0,19
116.97080550860943,8.50700000001,3.29406,345.0,6
141.00731447763368,9.641444444443332,10.4811,903.0,18
188.93773817743,10.443200000004,16.949436,942.0,20
141.01143689660356,7.97200000002,17.248896,186.0,3
116.97155642860204,9.690066666672001,25.7216176,2308.0,15
680.9510103439716,8.86400000001,29.826216,217.0,6
674.9384849512086,8.32866666668,30.265424,231.0,3
