Data file,C:\Users\grego\OneDrive - University of North Carolina at Chapel Hill\Academic\Data from Kimberley\O157_Lip_Allion_5bit_Pos_001_DI3.d.DeMP.d
Frame range,11,82
Frame time range,0.281,1.780,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Fragmentation Filter: High Only
Mass,Drift,Abundance
210.03895,0.20,186
210.04399,0.20,282
217.12978,0.20,63
430.39786,0.20,74
430.40507,0.20,54
466.31293,0.20,77
476.26529,0.20,99
476.27288,0.20,157
476.28046,0.20,75
476.31080,0.20,23
476.31839,0.20,0
476.32598,0.20,12
476.33356,0.20,9
997.51675,0.20,30
997.52773,0.20,3
997.53870,0.20,0
997.54968,0.20,19
997.56066,0.20,0
997.57164,0.20,37
997.58261,0.20,37
1101.58509,0.20,4
103.11813,0.24,57
103.12166,0.24,443
103.12519,0.24,331
103.12872,0.24,254
103.13225,0.24,191
103.13931,0.24,97
103.14990,0.24,39
109.09658,0.24,64
109.10021,0.24,63
175.12031,0.24,301
175.12491,0.24,932
175.12951,0.24,222
175.13411,0.24,27
175.13871,0.24,17
175.14791,0.24,30
175.15251,0.24,50
175.16631,0.24,21
175.18471,0.24,4
175.18931,0.24,1
175.19851,0.24,3
192.03616,0.24,131
192.04098,0.24,106
192.04580,0.24,225
192.05061,0.24,35
210.03895,0.24,186
210.04399,0.24,282
217.12978,0.24,63
430.39786,0.24,74
430.40507,0.24,54
476.26529,0.24,198
476.27288,0.24,329
476.28046,0.24,218
476.31080,0.24,23
476.31839,0.24,0
476.32598,0.24,12
476.33356,0.24,9
526.29494,0.24,1
997.51675,0.24,30
997.52773,0.24,3
997.57164,0.24,9
997.58261,0.24,13
1101.58509,0.24,4
103.11813,0.28,57
103.12166,0.28,443
103.12519,0.28,504
103.12872,0.28,408
103.13225,0.28,315
103.13578,0.28,0
103.13931,0.28,162
103.14990,0.28,64
109.09658,0.28,64
109.10021,0.28,63
175.12031,0.28,301
175.12491,0.28,1011
175.12951,0.28,264
175.13411,0.28,25
175.13871,0.28,17
175.14331,0.28,12
175.14791,0.28,30
175.15251,0.28,50
175.16171,0.28,15
175.16631,0.28,21
175.18471,0.28,4
175.18931,0.28,1
175.19851,0.28,3
192.03616,0.28,131
192.04098,0.28,106
192.04580,0.28,225
192.05061,0.28,35
210.03895,0.28,347
210.04399,0.28,282
217.12978,0.28,63
430.39786,0.28,74
430.40507,0.28,54
476.26529,0.28,273
476.27288,0.28,468
476.28046,0.28,321
476.31080,0.28,23
476.31839,0.28,0
476.32598,0.28,12
476.33356,0.28,9
526.29494,0.28,10
526.30292,0.28,3
526.31089,0.28,2
1101.58509,0.28,4
103.11813,0.32,226
103.12166,0.32,197
103.12519,0.32,343
103.12872,0.32,448
103.13225,0.32,357
103.13578,0.32,0
103.13931,0.32,191
103.14284,0.32,6
103.14637,0.32,12
103.14990,0.32,88
109.09658,0.32,4
109.10021,0.32,46
109.10384,0.32,31
109.10747,0.32,31
109.11110,0.32,26
109.11473,0.32,17
109.11836,0.32,12
109.12200,0.32,14
175.12491,0.32,332
175.12951,0.32,42
175.13411,0.32,192
175.13871,0.32,141
175.14331,0.32,101
175.14791,0.32,66
175.15251,0.32,48
175.15711,0.32,39
175.16171,0.32,44
175.16631,0.32,40
175.17091,0.32,14
175.18931,0.32,6
175.19391,0.32,0
175.19851,0.32,7
192.09396,0.32,3
210.03895,0.32,302
476.26529,0.32,234
476.27288,0.32,390
476.28046,0.32,245
504.34592,0.32,10
526.25508,0.32,50
526.26305,0.32,37
526.28697,0.32,13
526.29494,0.32,35
526.30292,0.32,9
526.31089,0.32,5
103.11813,0.36,247
103.12166,0.36,110
103.12519,0.36,301
103.12872,0.36,411
103.13225,0.36,309
103.13578,0.36,0
103.13931,0.36,168
103.14284,0.36,16
103.14637,0.36,12
103.14990,0.36,69
109.09658,0.36,4
109.10021,0.36,46
109.10384,0.36,31
109.10747,0.36,31
109.11110,0.36,26
109.11473,0.36,17
109.11836,0.36,12
109.12200,0.36,14
175.12031,0.36,186
175.12491,0.36,197
175.12951,0.36,42
175.13411,0.36,192
175.13871,0.36,255
175.14331,0.36,226
175.14791,0.36,133
175.15251,0.36,113
175.15711,0.36,96
175.16171,0.36,72
175.16631,0.36,39
175.17091,0.36,29
175.17551,0.36,0
175.18011,0.36,9
175.18471,0.36,6
175.18931,0.36,14
175.19391,0.36,0
175.19851,0.36,7
192.06988,0.36,45
192.07470,0.36,31
192.07951,0.36,9
192.08433,0.36,4
192.08915,0.36,0
192.09396,0.36,3
210.03895,0.36,361
210.04399,0.36,93
244.16555,0.36,45
244.17098,0.36,60
476.26529,0.36,136
476.27288,0.36,218
476.28046,0.36,103
504.34592,0.36,10
526.25508,0.36,50
526.26305,0.36,37
526.27102,0.36,0
526.27900,0.36,22
526.28697,0.36,34
526.29494,0.36,49
526.30292,0.36,15
526.31089,0.36,5
103.11813,0.40,247
103.12166,0.40,110
103.12519,0.40,128
103.12872,0.40,257
103.13225,0.40,185
103.13578,0.40,0
103.13931,0.40,103
103.14284,0.40,16
103.14637,0.40,12
103.14990,0.40,43
109.09658,0.40,4
109.10021,0.40,46
109.10384,0.40,31
109.10747,0.40,31
109.11110,0.40,26
109.11473,0.40,17
109.11836,0.40,12
109.12200,0.40,14
156.05721,0.40,28
175.12031,0.40,186
175.12491,0.40,118
175.13411,0.40,167
175.13871,0.40,372
175.14331,0.40,408
175.14791,0.40,248
175.15251,0.40,113
175.15711,0.40,183
175.16171,0.40,126
175.16631,0.40,76
175.17091,0.40,29
175.17551,0.40,0
175.18011,0.40,24
175.18471,0.40,6
175.18931,0.40,24
175.19391,0.40,0
175.19851,0.40,7
192.06988,0.40,45
192.07470,0.40,31
192.07951,0.40,9
192.08433,0.40,9
192.08915,0.40,0
192.09396,0.40,3
210.03895,0.40,201
210.04399,0.40,120
244.16555,0.40,45
244.17098,0.40,152
244.18185,0.40,52
476.26529,0.40,61
476.27288,0.40,79
504.34592,0.40,10
526.25508,0.40,50
526.26305,0.40,37
526.27102,0.40,0
526.27900,0.40,48
526.28697,0.40,51
526.29494,0.40,45
526.30292,0.40,12
526.31089,0.40,3
103.11813,0.44,21
103.12166,0.44,273
103.12519,0.44,128
103.12872,0.44,98
103.13225,0.44,54
103.13578,0.44,0
103.13931,0.44,29
103.14284,0.44,19
103.14637,0.44,0
103.14990,0.44,2
103.15343,0.44,4
103.15696,0.44,5
103.16049,0.44,4
103.16402,0.44,1
103.16755,0.44,3
103.17108,0.44,4
109.11836,0.44,19
156.03550,0.44,29
156.03984,0.44,160
156.04419,0.44,104
156.04853,0.44,113
156.05287,0.44,91
156.05721,0.44,136
156.06155,0.44,66
156.06590,0.44,62
156.07024,0.44,32
156.07458,0.44,0
156.07892,0.44,10
156.08326,0.44,6
175.12031,0.44,186
175.12491,0.44,118
175.12951,0.44,306
175.13411,0.44,0
175.13871,0.44,337
175.14331,0.44,466
175.14791,0.44,237
175.15251,0.44,65
175.15711,0.44,212
175.16171,0.44,128
175.16631,0.44,98
175.17091,0.44,31
175.17551,0.44,0
175.18011,0.44,40
175.18471,0.44,10
175.18931,0.44,18
175.19391,0.44,0
175.19851,0.44,2
192.04098,0.44,378
192.04580,0.44,289
192.05061,0.44,97
192.05543,0.44,133
192.06025,0.44,98
192.06506,0.44,105
192.06988,0.44,131
192.07470,0.44,75
192.07951,0.44,25
192.08433,0.44,9
210.03895,0.44,91
210.04399,0.44,120
244.15469,0.44,191
244.16012,0.44,312
244.16555,0.44,327
244.17098,0.44,152
244.18185,0.44,52
244.19814,0.44,58
244.20357,0.44,18
244.20900,0.44,30
526.27900,0.44,48
526.28697,0.44,38
526.29494,0.44,19
526.30292,0.44,7
526.31089,0.44,0
526.31886,0.44,1
528.20238,0.44,77
696.42677,0.44,10
696.43595,0.44,8
696.44512,0.44,8
1025.65013,0.44,13
103.12166,0.48,163
103.14284,0.48,9
103.14637,0.48,0
103.14990,0.48,2
103.15343,0.48,4
103.15696,0.48,5
103.16049,0.48,4
