Data file,C:\Users\grego\OneDrive - University of North Carolina at Chapel Hill\Academic\Data from Kimberley\O157_Lip_Allion_5bit_Pos_001_DI3.d.DeMP.d
Frame range,11,82
Frame time range,0.281,1.780,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Fragmentation Filter: High Only
Mass,Drift,Abundance
244.20357,6.07,0
244.20900,6.07,21
244.21444,6.07,20
311.29718,6.07,11
402.35188,6.07,14
402.35885,6.07,39
402.36582,6.07,71
402.37279,6.07,71
480.30156,6.07,102
480.30918,6.07,243
480.31680,6.07,223
504.29908,6.07,20
620.31457,6.07,144
620.32323,6.07,71
620.33189,6.07,108
109.10021,6.10,53
109.10384,6.10,58
109.10747,6.10,50
109.11110,6.10,32
109.11473,6.10,20
133.10623,6.10,125
133.11826,6.10,65
136.93887,6.10,15
136.94294,6.10,16
136.94701,6.10,2
136.95108,6.10,0
136.95514,6.10,4
136.98362,6.10,1
156.03550,6.10,666
156.03984,6.10,307
156.04419,6.10,75
156.04853,6.10,9
156.05287,6.10,1
175.10652,6.10,310
175.11111,6.10,424
175.11571,6.10,233
175.12031,6.10,53
175.12491,6.10,162
175.12951,6.10,95
175.13411,6.10,229
175.13871,6.10,125
175.14331,6.10,25
175.14791,6.10,52
175.15251,6.10,15
175.15711,6.10,5
235.08399,6.10,3
235.08931,6.10,4
235.09464,6.10,7
235.11596,6.10,7
244.19271,6.10,18
244.19814,6.10,72
244.20357,6.10,27
244.20900,6.10,21
244.21444,6.10,20
311.29718,6.10,11
402.35188,6.10,14
402.35885,6.10,39
402.36582,6.10,71
402.37279,6.10,71
480.30156,6.10,102
480.30918,6.10,243
480.31680,6.10,223
620.31457,6.10,144
620.32323,6.10,71
620.33189,6.10,92
109.10021,6.14,53
109.10384,6.14,58
109.10747,6.14,50
109.11110,6.14,32
109.11473,6.14,20
133.10623,6.14,125
133.11826,6.14,65
136.93887,6.14,15
136.94294,6.14,16
136.94701,6.14,2
136.95108,6.14,0
136.95514,6.14,4
136.98362,6.14,1
156.03550,6.14,344
156.03984,6.14,125
156.04419,6.14,46
156.04853,6.14,9
156.05287,6.14,1
175.10652,6.14,345
175.11111,6.14,424
175.11571,6.14,233
175.12031,6.14,53
175.12491,6.14,162
175.12951,6.14,106
175.13411,6.14,229
175.13871,6.14,125
175.14331,6.14,25
175.14791,6.14,42
175.15251,6.14,15
175.15711,6.14,5
235.08399,6.14,3
235.08931,6.14,4
235.09464,6.14,7
235.11596,6.14,7
244.19271,6.14,18
244.19814,6.14,48
244.20357,6.14,27
244.20900,6.14,21
244.21444,6.14,20
311.29718,6.14,11
402.35188,6.14,14
402.35885,6.14,39
402.36582,6.14,71
402.37279,6.14,71
480.30156,6.14,102
480.30918,6.14,243
480.31680,6.14,223
620.31457,6.14,144
620.32323,6.14,71
620.33189,6.14,49
975.53054,6.14,9
175.10652,6.18,192
175.11111,6.18,278
175.11571,6.18,233
175.12491,6.18,162
175.12951,6.18,106
175.13411,6.18,142
175.13871,6.18,56
175.17551,6.18,10
235.05734,6.18,120
235.06267,6.18,131
235.06800,6.18,99
235.07333,6.18,71
235.07866,6.18,51
235.08399,6.18,34
235.08931,6.18,22
235.09464,6.18,19
244.19814,6.18,21
244.20357,6.18,27
502.30291,6.18,232
502.31070,6.18,122
502.31849,6.18,78
502.32628,6.18,54
502.33407,6.18,37
712.38539,6.18,9
712.39467,6.18,20
975.53054,6.18,9
175.10652,6.22,93
175.12951,6.22,11
175.17551,6.22,10
235.05734,6.22,120
235.06267,6.22,131
235.06800,6.22,99
235.07333,6.22,71
235.07866,6.22,51
235.08399,6.22,34
235.08931,6.22,22
235.09464,6.22,19
488.27158,6.22,29
488.27926,6.22,46
488.28694,6.22,57
502.30291,6.22,317
502.31070,6.22,184
502.31849,6.22,117
502.32628,6.22,83
502.33407,6.22,37
712.38539,6.22,9
712.39467,6.22,20
975.53054,6.22,9
175.10652,6.26,58
175.13411,6.26,81
175.13871,6.26,58
175.17551,6.26,10
235.05734,6.26,120
235.06267,6.26,131
235.06800,6.26,99
235.07333,6.26,71
235.07866,6.26,51
235.08399,6.26,34
235.08931,6.26,22
235.09464,6.26,19
488.27158,6.26,29
488.27926,6.26,46
488.28694,6.26,57
502.30291,6.26,377
502.31070,6.26,230
502.31849,6.26,146
502.32628,6.26,101
502.33407,6.26,37
712.38539,6.26,9
712.39467,6.26,20
103.12872,6.30,35
103.13225,6.30,22
175.12031,6.30,116
175.12491,6.30,101
175.13411,6.30,185
175.13871,6.30,169
175.14331,6.30,56
226.02297,6.30,86
235.07333,6.30,2
235.07866,6.30,5
235.08399,6.30,4
235.08931,6.30,6
235.09464,6.30,1
235.09997,6.30,1
244.20900,6.30,15
466.29041,6.30,20
466.29791,6.30,20
466.30542,6.30,25
466.31293,6.30,17
466.32043,6.30,10
466.32794,6.30,9
466.33544,6.30,7
488.27158,6.30,29
488.27926,6.30,46
488.28694,6.30,57
502.30291,6.30,192
502.31070,6.30,108
502.31849,6.30,68
502.32628,6.30,47
518.31981,6.30,96
518.32773,6.30,82
518.33564,6.30,25
518.34355,6.30,16
518.35147,6.30,0
518.35938,6.30,12
103.12872,6.34,35
103.13225,6.34,22
175.12031,6.34,116
175.12491,6.34,101
175.12951,6.34,153
175.13411,6.34,349
175.13871,6.34,292
175.14331,6.34,84
175.14791,6.34,29
175.15251,6.34,18
175.15711,6.34,13
175.16171,6.34,0
175.16631,6.34,6
226.02297,6.34,86
235.07333,6.34,2
235.07866,6.34,5
235.08399,6.34,4
235.08931,6.34,6
235.09464,6.34,1
235.09997,6.34,1
244.20900,6.34,15
466.29041,6.34,20
466.29791,6.34,20
466.30542,6.34,25
466.31293,6.34,17
466.32043,6.34,10
466.32794,6.34,9
466.33544,6.34,7
502.30291,6.34,106
502.31070,6.34,46
502.31849,6.34,29
502.32628,6.34,18
518.31981,6.34,96
518.32773,6.34,82
518.33564,6.34,25
518.34355,6.34,16
518.35147,6.34,0
518.35938,6.34,12
103.12872,6.38,35
103.13225,6.38,22
175.12031,6.38,208
175.12491,6.38,220
175.12951,6.38,329
175.13411,6.38,377
175.13871,6.38,307
175.14331,6.38,131
175.14791,6.38,63
175.15251,6.38,40
175.15711,6.38,33
175.16171,6.38,0
175.16631,6.38,13
226.02297,6.38,86
235.07333,6.38,2
235.07866,6.38,5
235.08399,6.38,4
235.08931,6.38,6
235.09464,6.38,1
235.09997,6.38,1
244.20900,6.38,15
466.29041,6.38,20
466.29791,6.38,20
466.30542,6.38,25
466.31293,6.38,17
466.32043,6.38,10
466.32794,6.38,32
466.33544,6.38,7
502.30291,6.38,46
518.31981,6.38,96
518.32773,6.38,82
518.33564,6.38,25
518.34355,6.38,16
518.35147,6.38,0
518.35938,6.38,12
175.12031,6.42,92
175.12491,6.42,119
175.12951,6.42,329
175.13411,6.42,273
175.13871,6.42,196
175.14331,6.42,75
175.14791,6.42,102
175.15251,6.42,40
175.15711,6.42,55
175.16171,6.42,0
175.16631,6.42,13
175.18931,6.42,2
194.03053,6.42,128
194.03538,6.42,83
194.04022,6.42,15
226.02819,6.42,63
226.03342,6.42,53
226.05432,6.42,13
235.12129,6.42,7
244.21444,6.42,25
251.02910,6.42,392
251.03460,6.42,203
251.04011,6.42,150
251.04562,6.42,207
251.05112,6.42,73
251.05663,6.42,61
251.06214,6.42,82
251.06765,6.42,25
466.32794,6.42,24
488.26390,6.42,83
156.08326,6.46,15
156.08761,6.46,0
156.09195,6.46,11
156.10498,6.46,6
156.10932,6.46,9
175.12031,6.46,92
175.12491,6.46,119
175.12951,6.46,176
175.13411,6.46,109
175.13871,6.46,73
175.14331,6.46,47
175.14791,6.46,73
175.15251,6.46,22
175.15711,6.46,41
175.16171,6.46,0
175.16631,6.46,7
175.18931,6.46,2
194.03053,6.46,128
194.03538,6.46,83
194.04022,6.46,15
226.02819,6.46,63
226.03342,6.46,53
226.05432,6.46,13
235.12129,6.46,7
244.21444,6.46,25
251.02910,6.46,392
251.03460,6.46,203
251.04011,6.46,150
251.04562,6.46,207
251.05112,6.46,73
251.05663,6.46,61
251.06214,6.46,82
251.06765,6.46,25
466.32794,6.46,24
488.26390,6.46,83
504.29908,6.46,17
504.30689,6.46,12
504.31469,6.46,21
156.08326,6.50,15
156.08761,6.50,0
156.09195,6.50,21
156.10498,6.50,11
156.10932,6.50,14
175.14791,6.50,39
175.15251,6.50,0
175.15711,6.50,22
175.18931,6.50,2
194.03053,6.50,128
194.03538,6.50,83
194.04022,6.50,15
226.02819,6.50,63
226.03342,6.50,53
226.05432,6.50,13
235.12129,6.50,7
244.21444,6.50,25
251.02910,6.50,392
251.03460,6.50,203
251.04011,6.50,150
251.04562,6.50,207
251.05112,6.50,73
251.05663,6.50,61
251.06214,6.50,82
251.06765,6.50,25
488.26390,6.50,83
504.28347,6.50,44
504.29128,6.50,0
504.29908,6.50,45
504.30689,6.50,29
504.31469,6.50,32
103.13225,6.54,13
103.13578,6.54,11
103.13931,6.54,6
103.14284,6.54,11
103.14637,6.54,11
109.09295,6.54,83
156.08326,6.54,15
156.08761,6.54,0
156.09195,6.54,21
156.10498,6.54,11
156.10932,6.54,14
175.18471,6.54,2
176.06909,6.54,148
244.17098,6.54,74
402.35885,6.54,23
438.34437,6.54,16
440.26760,6.54,17
440.27489,6.54,13
504.28347,6.54,44
504.29128,6.54,0
504.29908,6.54,45
504.30689,6.54,29
504.31469,6.54,32
510.30350,6.54,19
103.12166,6.58,39
103.12519,6.58,0
103.12872,6.58,4
103.13225,6.58,13
103.13578,6.58,11
103.13931,6.58,6
103.14284,6.58,11
103.14637,6.58,11
109.09295,6.58,83
156.09195,6.58,10
156.10498,6.58,6
156.10932,6.58,5
175.17551,6.58,10
175.18011,6.58,8
175.18471,6.58,2
176.06909,6.58,318
176.08754,6.58,51
244.17098,6.58,74
244.17642,6.58,0
244.18185,6.58,30
244.18728,6.58,23
402.35885,6.58,23
438.34437,6.58,16
440.26760,6.58,17
440.27489,6.58,13
504.28347,6.58,44
504.29128,6.58,0
504.29908,6.58,28
504.30689,6.58,17
504.31469,6.58,12
510.30350,6.58,39
103.12166,6.62,86
103.12519,6.62,0
103.12872,6.62,26
103.13225,6.62,13
103.13578,6.62,11
103.13931,6.62,6
103.14284,6.62,11
103.14637,6.62,11
109.09295,6.62,83
175.13871,6.62,66
175.17091,6.62,18
175.17551,6.62,21
175.18011,6.62,16
175.18471,6.62,2
176.06909,6.62,495
176.08754,6.62,103
244.17098,6.62,74
244.17642,6.62,0
244.18185,6.62,30
244.18728,6.62,23
402.35885,6.62,23
438.34437,6.62,16
440.26760,6.62,17
440.27489,6.62,13
510.30350,6.62,51
103.12166,6.66,86
103.12519,6.66,0
103.12872,6.66,26
175.12951,6.66,151
175.13411,6.66,97
175.13871,6.66,136
175.17091,6.66,59
175.17551,6.66,51
175.18011,6.66,16
176.06909,6.66,348
176.08754,6.66,103
192.05061,6.66,45
192.05543,6.66,18
192.06025,6.66,2
244.18185,6.66,30
244.18728,6.66,23
402.35188,6.66,294
402.35885,6.66,188
402.36582,6.66,69
402.37279,6.66,32
402.37976,6.66,32
402.38674,6.66,17
402.39371,6.66,11
402.40068,6.66,0
402.40765,6.66,11
510.30350,6.66,33
997.56066,6.66,76
103.12166,6.70,46
103.12519,6.70,0
103.12872,6.70,22
175.12951,6.70,151
175.13411,6.70,97
175.13871,6.70,136
175.17091,6.70,59
175.17551,6.70,42
175.18011,6.70,8
175.18471,6.70,1
175.18931,6.70,0
175.19391,6.70,7
176.06909,6.70,177
176.08754,6.70,52
192.05061,6.70,45
192.05543,6.70,18
192.06025,6.70,2
402.35188,6.70,294
402.35885,6.70,188
402.36582,6.70,69
402.37279,6.70,32
402.37976,6.70,32
402.38674,6.70,17
402.39371,6.70,11
402.40068,6.70,0
402.40765,6.70,11
510.30350,6.70,13
997.56066,6.70,76
175.12951,6.74,151
175.13411,6.74,97
175.13871,6.74,70
175.17091,6.74,41
175.17551,6.74,30
175.18471,6.74,1
175.18931,6.74,0
175.19391,6.74,11
192.05061,6.74,45
192.05543,6.74,18
192.06025,6.74,2
251.05663,6.74,4
402.35188,6.74,294
402.35885,6.74,188
402.36582,6.74,69
402.37279,6.74,32
402.37976,6.74,32
402.38674,6.74,17
402.39371,6.74,11
402.40068,6.74,0
402.40765,6.74,11
997.56066,6.74,76
104.11584,6.78,55
109.09295,6.78,82
109.09658,6.78,108
121.09178,6.78,132
175.12491,6.78,64
175.18471,6.78,1
175.18931,6.78,0
175.19391,6.78,15
235.05201,6.78,136
235.05734,6.78,135
235.06267,6.78,104
235.06800,6.78,0
235.07333,6.78,45
241.99796,6.78,127
242.00337,6.78,87
242.00878,6.78,59
242.01418,6.78,48
242.01959,6.78,31
242.02500,6.78,0
242.03041,6.78,18
251.05663,6.78,4
411.14909,6.78,41
411.15613,6.78,73
496.26072,6.78,97
510.24854,6.78,24
104.11584,6.82,55
109.09295,6.82,82
109.09658,6.82,205
109.10747,6.82,85
121.09178,6.82,132
175.12491,6.82,64
175.16171,6.82,13
175.17551,6.82,7
175.19391,6.82,8
176.09676,6.82,25
235.05201,6.82,136
235.05734,6.82,135
235.06267,6.82,104
235.06800,6.82,0
235.07333,6.82,45
235.09464,6.82,37
235.09997,6.82,33
235.11063,6.82,24
235.11596,6.82,25
235.12129,6.82,18
235.12662,6.82,16
235.13195,6.82,7
241.99796,6.82,127
242.00337,6.82,87
242.00878,6.82,59
242.01418,6.82,48
242.01959,6.82,31
242.02500,6.82,0
242.03041,6.82,18
251.05663,6.82,4
411.14909,6.82,41
411.15613,6.82,73
496.26072,6.82,97
510.24854,6.82,24
104.11584,6.86,55
109.09295,6.86,82
109.09658,6.86,285
109.10021,6.86,78
109.10384,6.86,0
109.10747,6.86,150
109.11110,6.86,43
121.09178,6.86,132
175.11571,6.86,496
175.12031,6.86,103
175.12491,6.86,160
175.12951,6.86,43
175.13411,6.86,25
175.16171,6.86,13
175.17551,6.86,19
175.18011,6.86,5
175.19391,6.86,3
176.09676,6.86,59
235.05201,6.86,313
235.05734,6.86,135
235.06267,6.86,104
235.06800,6.86,0
235.07333,6.86,45
235.09464,6.86,68
235.09997,6.86,61
235.11063,6.86,58
235.11596,6.86,57
235.12129,6.86,43
235.12662,6.86,35
235.13195,6.86,20
241.99796,6.86,127
242.00337,6.86,87
242.00878,6.86,59
242.01418,6.86,48
242.01959,6.86,31
242.02500,6.86,0
242.03041,6.86,18
411.14909,6.86,41
411.15613,6.86,73
496.26072,6.86,97
510.24854,6.86,24
997.54968,6.86,10
109.09295,6.90,63
109.09658,6.90,177
109.10021,6.90,78
109.10384,6.90,0
109.10747,6.90,150
109.11110,6.90,43
109.11473,6.90,0
109.11836,6.90,23
109.13289,6.90,9
175.11571,6.90,1332
175.12031,6.90,862
175.12491,6.90,700
175.12951,6.90,237
175.13411,6.90,142
175.13871,6.90,69
175.14331,6.90,0
175.14791,6.90,33
175.16171,6.90,13
175.17551,6.90,19
175.18011,6.90,5
176.09676,6.90,59
235.05201,6.90,177
235.05734,6.90,244
235.06267,6.90,187
235.09464,6.90,92
235.09997,6.90,61
235.11063,6.90,94
235.11596,6.90,90
235.12129,6.90,43
235.12662,6.90,55
235.13195,6.90,35
340.08118,6.90,152
340.08759,6.90,103
340.09400,6.90,72
502.30291,6.90,116
502.31070,6.90,111
516.32765,6.90,43
516.33554,6.90,0
516.34344,6.90,23
652.42916,6.90,148
652.43804,6.90,117
652.44691,6.90,105
997.54968,6.90,10
109.09295,6.94,63
109.09658,6.94,80
109.10021,6.94,78
109.10384,6.94,0
109.10747,6.94,65
109.11110,6.94,43
109.11473,6.94,0
109.11836,6.94,23
109.13289,6.94,9
175.11571,6.94,1332
175.12031,6.94,862
175.12491,6.94,700
175.12951,6.94,237
175.13411,6.94,142
175.13871,6.94,69
175.14331,6.94,0
175.14791,6.94,33
175.17551,6.94,12
175.18011,6.94,5
176.09676,6.94,33
235.05201,6.94,177
235.05734,6.94,244
235.06267,6.94,187
235.09464,6.94,55
235.09997,6.94,28
235.11063,6.94,69
235.11596,6.94,66
235.12129,6.94,25
235.12662,6.94,39
235.13195,6.94,28
340.08118,6.94,152
340.08759,6.94,103
340.09400,6.94,72
502.30291,6.94,116
502.31070,6.94,111
516.32765,6.94,43
516.33554,6.94,0
516.34344,6.94,23
652.42916,6.94,148
652.43804,6.94,117
652.44691,6.94,105
997.54968,6.94,10
103.12166,6.98,149
103.12519,6.98,156
103.12872,6.98,109
109.09295,6.98,99
109.11836,6.98,23
109.13289,6.98,9
175.11571,6.98,836
175.12031,6.98,759
175.12491,6.98,604
175.12951,6.98,194
175.13411,6.98,117
175.13871,6.98,69
175.14331,6.98,0
175.14791,6.98,33
235.05734,6.98,244
235.06267,6.98,187
235.09464,6.98,24
235.11063,6.98,36
235.11596,6.98,34
235.12129,6.98,0
235.12662,6.98,20
235.13195,6.98,15
340.08118,6.98,152
340.08759,6.98,103
340.09400,6.98,72
502.30291,6.98,116
502.31070,6.98,111
516.32765,6.98,43
516.33554,6.98,0
516.34344,6.98,23
652.39365,6.98,87
652.40252,6.98,69
652.42916,6.98,148
652.43804,6.98,117
652.44691,6.98,105
103.12166,7.02,149
103.12519,7.02,247
103.12872,7.02,175
103.13225,7.02,46
103.13578,7.02,37
103.13931,7.02,72
103.14284,7.02,53
103.14637,7.02,18
103.14990,7.02,13
103.15343,7.02,11
103.15696,7.02,8
103.16049,7.02,6
103.16402,7.02,5
103.16755,7.02,4
109.09295,7.02,49
140.06390,7.02,268
210.04399,7.02,280
210.04902,7.02,218
229.14802,7.02,109
229.15328,7.02,131
241.99256,7.02,275
241.99796,7.02,153
242.00337,7.02,93
242.00878,7.02,51
242.01418,7.02,49
242.01959,7.02,21
242.02500,7.02,22
242.03041,7.02,9
242.03581,7.02,11
438.35892,7.02,40
488.28694,7.02,1
538.35567,7.02,4
538.36374,7.02,3
538.38793,7.02,2
652.39365,7.02,87
652.40252,7.02,69
675.36359,7.02,18
675.37263,7.02,12
103.12166,7.06,352
103.12519,7.06,420
103.12872,7.06,282
103.13225,7.06,134
103.13578,7.06,100
103.13931,7.06,72
103.14284,7.06,53
103.14637,7.06,18
103.14990,7.06,13
103.15343,7.06,11
103.15696,7.06,8
103.16049,7.06,6
103.16402,7.06,5
103.16755,7.06,4
109.09295,7.06,49
140.06390,7.06,268
210.04399,7.06,280
210.04902,7.06,218
229.14276,7.06,20
229.14802,7.06,312
229.15328,7.06,250
241.99256,7.06,275
241.99796,7.06,153
242.00337,7.06,93
242.00878,7.06,51
242.01418,7.06,49
242.01959,7.06,21
242.02500,7.06,22
242.03041,7.06,9
242.03581,7.06,11
325.26051,7.06,105
438.35165,7.06,100
438.35892,7.06,120
438.36620,7.06,36
488.28694,7.06,13
488.35606,7.06,4
538.35567,7.06,4
538.36374,7.06,3
538.38793,7.06,2
652.39365,7.06,87
652.40252,7.06,69
675.36359,7.06,18
675.37263,7.06,12
103.11813,7.10,144
103.12166,7.10,436
103.12519,7.10,468
103.12872,7.10,332
103.13225,7.10,252
103.13578,7.10,184
103.13931,7.10,72
103.14284,7.10,53
103.14637,7.10,18
103.14990,7.10,13
103.15343,7.10,11
103.15696,7.10,8
103.16049,7.10,6
103.16402,7.10,5
103.16755,7.10,4
109.09295,7.10,13
140.06390,7.10,268
210.04399,7.10,280
210.04902,7.10,218
229.14276,7.10,212
229.14802,7.10,432
229.15328,7.10,250
241.99256,7.10,275
241.99796,7.10,153
242.00337,7.10,93
242.00878,7.10,51
242.01418,7.10,49
242.01959,7.10,21
242.02500,7.10,22
242.03041,7.10,9
242.03581,7.10,11
325.26051,7.10,143
325.26678,7.10,84
438.35165,7.10,243
438.35892,7.10,249
438.36620,7.10,133
488.28694,7.10,13
488.29462,7.10,1
488.35606,7.10,4
504.29128,7.10,7
538.35567,7.10,4
538.36374,7.10,3
538.38793,7.10,2
675.36359,7.10,18
675.37263,7.10,12
103.11813,7.14,312
103.12166,7.14,780
103.12519,7.14,595
103.12872,7.14,441
103.13225,7.14,331
103.13578,7.14,235
103.13931,7.14,55
103.14284,7.14,46
103.14637,7.14,29
103.14990,7.14,25
103.15343,7.14,14
103.15696,7.14,0
103.16049,7.14,11
103.17108,7.14,5
103.17461,7.14,3
109.10021,7.14,31
109.10384,7.14,39
109.10747,7.14,18
109.11110,7.14,17
109.11473,7.14,8
109.11836,7.14,10
156.03984,7.14,105
156.04419,7.14,91
156.04853,7.14,65
156.05287,7.14,110
156.05721,7.14,35
210.05910,7.14,64
229.14276,7.14,466
229.14802,7.14,322
229.15328,7.14,119
235.04135,7.14,119
325.26051,7.14,143
325.26678,7.14,205
325.31066,7.14,31
325.31693,7.14,17
438.35165,7.14,243
438.35892,7.14,209
438.36620,7.14,133
438.38803,7.14,72
488.28694,7.14,12
488.29462,7.14,1
488.35606,7.14,4
504.29128,7.14,7
538.35567,7.14,1
103.11813,7.18,457
103.12166,7.18,898
103.12519,7.18,599
103.12872,7.18,473
103.13225,7.18,345
103.13578,7.18,244
103.13931,7.18,102
103.14284,7.18,85
103.14637,7.18,29
103.14990,7.18,46
103.15343,7.18,14
103.15696,7.18,0
103.16049,7.18,11
103.17108,7.18,5
103.17461,7.18,3
109.10021,7.18,31
109.10384,7.18,39
109.10747,7.18,18
109.11110,7.18,17
109.11473,7.18,8
109.11836,7.18,10
156.03984,7.18,105
156.04419,7.18,91
156.04853,7.18,65
156.05287,7.18,110
156.05721,7.18,35
175.11111,7.18,46
175.17091,7.18,4
210.05910,7.18,64
229.14276,7.18,446
229.14802,7.18,121
235.04135,7.18,119
325.26051,7.18,38
325.26678,7.18,373
325.31066,7.18,31
325.31693,7.18,27
438.35165,7.18,142
438.35892,7.18,129
438.36620,7.18,227
438.37348,7.18,199
438.38075,7.18,143
438.38803,7.18,184
438.39531,7.18,43
438.40259,7.18,27
438.40986,7.18,18
438.41714,7.18,14
438.42442,7.18,11
488.29462,7.18,1
504.29128,7.18,7
538.35567,7.18,1
103.11813,7.22,399
103.12166,7.22,921
103.12519,7.22,491
103.12872,7.22,382
103.13225,7.22,286
103.13578,7.22,202
103.13931,7.22,133
103.14284,7.22,111
103.14637,7.22,46
103.14990,7.22,59
103.15343,7.22,23
103.15696,7.22,0
103.16049,7.22,16
103.16402,7.22,5
103.16755,7.22,5
103.17108,7.22,5
103.17461,7.22,3
109.10021,7.22,31
109.10384,7.22,39
109.10747,7.22,18
109.11110,7.22,17
109.11473,7.22,8
109.11836,7.22,10
156.03984,7.22,105
156.04419,7.22,91
156.04853,7.22,65
156.05287,7.22,110
156.05721,7.22,35
175.11111,7.22,178
175.11571,7.22,0
175.12031,7.22,253
175.12491,7.22,390
175.12951,7.22,292
175.13411,7.22,106
175.13871,7.22,157
175.14331,7.22,117
175.14791,7.22,86
175.15251,7.22,68
175.15711,7.22,55
175.17091,7.22,4
210.05910,7.22,64
229.14276,7.22,253
235.04135,7.22,191
325.26051,7.22,167
325.26678,7.22,531
325.31066,7.22,31
325.31693,7.22,27
438.36620,7.22,130
438.37348,7.22,199
438.38075,7.22,143
438.38803,7.22,184
438.39531,7.22,66
438.40259,7.22,27
438.40986,7.22,28
438.41714,7.22,19
438.42442,7.22,11
488.27158,7.22,33
488.30998,7.22,28
538.29116,7.22,99
538.31535,7.22,27
538.35567,7.22,1
103.11813,7.26,231
103.12166,7.26,576
103.12519,7.26,273
103.12872,7.26,208
103.13225,7.26,160
103.13578,7.26,114
103.13931,7.26,78
103.14284,7.26,66
103.14637,7.26,17
103.14990,7.26,34
103.15343,7.26,9
103.15696,7.26,0
103.16049,7.26,7
103.16402,7.26,10
103.16755,7.26,5
109.08206,7.26,70
109.08569,7.26,57
109.08932,7.26,41
109.09295,7.26,6
175.11111,7.26,178
175.11571,7.26,0
175.12031,7.26,585
175.12491,7.26,909
175.12951,7.26,665
175.13411,7.26,366
175.13871,7.26,363
175.14331,7.26,267
175.14791,7.26,86
175.15251,7.26,155
175.15711,7.26,55
175.16171,7.26,29
175.16631,7.26,17
175.17091,7.26,4
235.04135,7.26,72
325.26051,7.26,536
325.26678,7.26,660
325.31693,7.26,10
438.36620,7.26,130
438.37348,7.26,199
438.38075,7.26,143
438.38803,7.26,111
438.39531,7.26,66
438.40259,7.26,27
438.40986,7.26,28
438.41714,7.26,19
438.42442,7.26,14
488.27158,7.26,94
488.30998,7.26,28
538.29116,7.26,324
538.29922,7.26,172
538.30729,7.26,53
538.31535,7.26,57
538.32342,7.26,25
103.11813,7.30,87
103.12166,7.30,256
103.12519,7.30,96
103.12872,7.30,68
103.13225,7.30,58
103.13578,7.30,42
103.13931,7.30,32
103.14284,7.30,27
103.14637,7.30,17
103.14990,7.30,13
103.15343,7.30,9
103.15696,7.30,0
103.16049,7.30,7
103.16402,7.30,10
103.16755,7.30,5
109.08206,7.30,70
109.08569,7.30,57
109.08932,7.30,41
109.09295,7.30,6
175.11111,7.30,132
175.11571,7.30,0
175.12031,7.30,585
175.12491,7.30,909
175.12951,7.30,665
175.13411,7.30,366
175.13871,7.30,363
175.14331,7.30,267
175.14791,7.30,86
175.15251,7.30,155
175.15711,7.30,81
175.16171,7.30,29
175.16631,7.30,17
235.04135,7.30,72
325.26051,7.30,536
325.26678,7.30,491
438.39531,7.30,23
438.40259,7.30,0
438.40986,7.30,9
438.41714,7.30,5
438.42442,7.30,3
488.26390,7.30,92
488.27158,7.30,155
488.30998,7.30,67
538.29116,7.30,324
538.29922,7.30,172
538.30729,7.30,53
538.31535,7.30,57
538.32342,7.30,25
103.12166,7.34,19
103.12519,7.34,0
103.12872,7.34,25
103.16049,7.34,2
103.16402,7.34,4
109.08206,7.34,70
109.08569,7.34,57
109.08932,7.34,41
109.09295,7.34,6
175.12031,7.34,332
175.12491,7.34,518
175.12951,7.34,373
175.13411,7.34,259
175.13871,7.34,206
175.14331,7.34,151
175.14791,7.34,0
175.15251,7.34,86
175.15711,7.34,26
175.16171,7.34,29
175.16631,7.34,17
325.26051,7.34,369
325.26678,7.34,248
438.42442,7.34,3
488.26390,7.34,92
488.27158,7.34,122
488.28694,7.34,17
488.29462,7.34,24
488.30230,7.34,94
488.30998,7.34,68
488.31766,7.34,14
488.32534,7.34,30
538.29116,7.34,224
538.29922,7.34,172
538.30729,7.34,53
538.31535,7.34,31
538.32342,7.34,25
103.12166,7.38,19
103.12519,7.38,0
103.12872,7.38,25
175.15711,7.38,26
235.04135,7.38,35
488.26390,7.38,92
488.27158,7.38,61
488.28694,7.38,27
488.29462,7.38,43
488.30230,7.38,132
488.30998,7.38,97
488.31766,7.38,29
488.32534,7.38,30
488.33302,7.38,0
488.34070,7.38,7
488.36374,7.38,6
488.38679,7.38,2
997.51675,7.38,17
103.12166,7.42,19
103.12519,7.42,0
103.12872,7.42,25
235.04135,7.42,35
488.28694,7.42,69
488.29462,7.42,53
488.30230,7.42,157
488.30998,7.42,58
488.31766,7.42,29
488.32534,7.42,30
488.33302,7.42,0
488.34070,7.42,7
488.36374,7.42,12
488.38679,7.42,2
997.51675,7.42,17
175.11111,7.46,98
175.14791,7.46,16
175.15251,7.46,11
235.04135,7.46,35
488.28694,7.46,52
488.29462,7.46,29
488.30230,7.46,63
488.30998,7.46,29
488.31766,7.46,15
488.34070,7.46,7
488.36374,7.46,15
488.38679,7.46,2
997.51675,7.46,17
118.13444,7.50,1
156.03550,7.50,210
156.09195,7.50,11
156.09629,7.50,0
156.10063,7.50,2
175.11111,7.50,157
175.14791,7.50,16
175.15251,7.50,11
175.18011,7.50,3
176.13828,7.50,3
219.10605,7.50,24
244.19271,7.50,11
251.02359,7.50,80
430.39786,7.50,30
430.42671,7.50,13
488.28694,7.50,42
488.29462,7.50,10
488.30230,7.50,25
488.36374,7.50,9
504.27567,7.50,55
504.28347,7.50,44
504.29128,7.50,16
