m/z,Retention Time (sec),Drift Time (ms),Intensity,count
242.174494783839,375.1781068702342,20.99054583206107,567779.0,131
264.153887553278,370.27502941177414,21.564643058823528,62350.0,34
340.13855671045206,370.085466666676,24.222986666666667,31977.0,45
242.17469026094375,370.13202824860133,27.54693627118644,23679.0,177
216.99995042185287,395.31326724138256,18.59853124137931,41946.0,116
486.96602470858437,422.2194324942787,26.798175157894736,55929.0,437
219.02699643569545,388.09920689655314,17.37281048275862,22240.0,29
220.02313011451602,404.5567578947362,17.02319772631579,47895.0,95
434.94227954074535,408.38171818181837,24.743018618181818,15050.0,110
232.04508570720355,397.83501724137824,18.289777655172415,16539.0,58
328.97557680329874,401.1364054054119,19.994215783783783,53154.0,37
272.99264311012485,417.794008620689,16.457908551724138,20392.0,116
568.969213354385,433.83228409090975,28.59774940909091,11538.0,176
219.02701254163557,416.1545454545454,17.336011636363637,13380.0,11
232.04517918363968,437.6977983193266,18.28668847058824,39659.0,119
220.0225266544054,527.603925445705,17.01922910858995,456767.0,617
510.92820677957735,446.14076969696873,25.9851424,13371.0,165
217.00038867965364,436.94474509803644,18.60409929411765,21382.0,51
219.02629819582097,438.6879999999988,17.37572611764706,15934.0,17
219.02727202622634,460.89411111109337,17.395298666666665,10523.0,9
206.15293566069144,466.930150000005,19.6505652,15818.0,20
232.0454884035696,473.4822499999875,18.391835,11029.0,24
220.1447273448841,481.69292045454137,20.06382,148899.0,88
236.1030623570295,481.6225890410901,20.42727419178082,162836.0,73
407.18196022234736,481.8543650793595,26.472264,40449.0,126
451.18848786287,481.65011920529287,27.839864105960267,42137.0,151
207.1362333896672,481.50675471697474,19.660396528301884,46822.0,53
601.316425923422,480.74856603773094,31.987978188679246,15079.0,106
486.96645998646864,581.8608583033747,26.808427725663716,117659.0,904
219.02657883167672,485.66299999999717,17.402904,15485.0,14
232.04530343015404,522.4254148202348,18.32775323076923,143664.0,299
510.9286291579978,521.7100342514136,26.00801640677966,13061.0,177
345.08543405190613,584.5736299649542,25.552725891588786,47205.0,535
219.0279669910058,511.0940434782548,17.300976,26203.0,23
444.95777349750426,524.890990873895,25.181140884955756,10233.0,113
401.93998576371905,517.5006285895256,20.18279464864865,580492.0,148
219.02841375842578,540.179500000005,17.308787999999996,17620.0,12
235.11854448548326,542.7766363636418,20.562920000000002,121002.0,66
374.24057538650055,560.7229920948671,29.008086545454542,154046.0,253
306.0420211962069,563.0735357142878,20.555790000000002,24757.0,28
219.02815686868092,566.303200000002,17.2848312,31512.0,20
428.96633895313005,566.1846969697109,22.664584727272725,56489.0,33
375.9942397392578,574.1903928571458,18.609299999999998,119836.0,56
447.12917176226034,583.6506868131903,27.978120000000004,63965.0,182
306.041968528432,756.5102154769847,20.566089734489662,1956146.0,1499
232.04504302964972,583.6662765957446,18.316757617021278,26603.0,47
430.96752807622596,584.8889827586245,19.818056275862066,39569.0,58
219.02762332844156,587.3486153846216,17.525320615384615,17346.0,13
519.1440369679451,610.7187903225835,30.074478,71201.0,372
497.16282274943194,608.267632124354,29.184471668393783,29374.0,193
232.0451929148185,667.1507051509749,18.339717612788633,348336.0,563
219.02841375842578,596.78566666667,17.248896,10366.0,6
219.02771315003068,623.4240000000027,17.395903636363638,69799.0,44
682.4104878918721,622.5291197183109,35.02922805633803,10672.0,142
426.991755816433,630.5181492537322,19.780450388059702,63039.0,67
506.9481228621837,632.1918984374986,22.7767404375,526119.0,128
390.2364705421986,630.5788120805356,28.68947387919463,21048.0,149
220.02182872862767,655.0669572649538,17.012399384615385,108074.0,117
219.0280260003203,666.0530566037694,17.352859471698114,91004.0,53
528.9599104659762,675.2740703124952,25.2154678125,90936.0,128
473.97761603484844,671.9820526315642,20.9622,26965.0,19
297.150237468464,699.0787650602352,26.275871156626504,1361646.0,996
265.1474795194626,689.980274193541,21.862512000000002,389171.0,124
265.1458595294398,683.6727946428455,28.16474775,25339.0,224
220.0218874122206,698.0925833333283,17.02041911111111,104837.0,108
332.03660766559466,799.7497985901308,21.23385515407855,771114.0,993
572.9786386449115,695.0066744186043,26.18951804651163,41778.0,86
219.02722811344944,699.5165384615216,17.580605538461537,17529.0,13
276.0500023725773,795.6799014373711,19.896196188911702,170317.0,487
219.02823026575086,719.3468214285707,17.274563999999998,49596.0,28
